;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.556;0.375;0.278;0.25;0.086;0.139;0.083;0.028;0.114;0.081;0.079;0.6;0.286;0.286;0.286;0.324;0.171;0.286;0.286;0.324;0.029;0.229;0.086;0.216
ENST00000319481_90_90;0.556;1.0;0.571;0.211;0.286;0.086;0.171;0.114;0.057;0.114;0.081;0.079;0.391;0.25;0.25;0.25;0.256;0.171;0.25;0.25;0.195;0.029;0.194;0.086;0.184
ENST00000357041_90_90;0.375;0.571;1.0;0.0;0.5;0.15;0.3;0.0;0.0;0.0;0.136;0.13;0.256;0.429;0.429;0.429;0.417;0.3;0.429;0.429;0.0;0.05;0.333;0.0;0.25
ENST00000399441_90_90;0.278;0.211;0.0;1.0;0.0;0.0;0.0;0.25;0.083;0.364;0.0;0.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.667;0.0;0.0;0.273;0.0
ENST00000399443_90_90;0.25;0.286;0.5;0.0;1.0;0.3;0.6;0.0;0.0;0.0;0.0;0.231;0.3;0.818;0.818;0.818;0.6;0.6;0.818;0.818;0.0;0.1;0.636;0.0;0.333
ENST00000578013_90_90;0.086;0.086;0.15;0.0;0.3;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.103;0.3;0.3;0.3;0.214;0.5;0.3;0.3;0.0;0.0;0.1;0.0;0.0
ENST00000578055_90_90;0.139;0.171;0.3;0.0;0.6;0.125;1.0;0.0;0.0;0.0;0.0;0.333;0.167;0.455;0.455;0.455;0.333;0.2;0.455;0.455;0.0;0.167;0.4;0.0;0.333
ENST00000578091_90_90;0.083;0.114;0.0;0.25;0.0;0.0;0.0;1.0;0.5;0.6;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.4;0.0
ENST00000579851_90_90;0.028;0.057;0.0;0.083;0.0;0.0;0.0;0.5;1.0;0.2;0.0;0.0;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.0;0.0;0.25;0.0
ENST00000582645_90_90;0.114;0.114;0.0;0.364;0.0;0.0;0.0;0.6;0.2;1.0;0.0;0.0;0.138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.286;0.0;0.0;0.4;0.0
ENST00000584119_90_90;0.081;0.081;0.136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
