;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;;0.879;0.912;0.822;0.912;0.879;0.027;0.912;0.157;0.132;0.117;0.237;0.046;0.213;0.625;0.195;0.822;0.182;0.909;0.945;0.911
ENST00000392476_90_90;0.879;;;;;;;;;;;;;;;;;;0.897;0.865;0.864
ENST00000430767_90_90;0.912;;;;;;;;;;;;;;;;;;0.865;0.897;0.867
ENST00000431431_90_90;0.822;;;;;;;;;;;;;;;;;;0.776;0.806;0.778
ENST00000436233_90_90;0.912;;;;;;;;;;;;;;;;;;0.865;0.897;0.867
ENST00000443798_90_90;0.879;;;;;;;;;;;;;;;;;;0.897;0.865;0.864
ENST00000561721_90_90;0.027;;;;;;;;;;;;;;;;;;0.028;0.028;0.028
ENST00000585618_90_90;0.912;;;;;;;;;;;;;;;;;;0.865;0.897;0.867
ENST00000586429_90_90;0.157;;;;;;;;;;;;;;;;;;0.161;0.161;0.161
ENST00000587820_90_90;0.132;;;;;;;;;;;;;;;;;;0.135;0.135;0.135
ENST00000588488_90_90;0.117;;;;;;;;;;;;;;;;;;0.119;0.119;0.119
ENST00000588616_90_90;0.237;;;;;;;;;;;;;;;;;;0.242;0.242;0.242
ENST00000588880_90_90;0.046;;;;;;;;;;;;;;;;;;0.048;0.048;0.048
ENST00000589202_90_90;0.213;;;;;;;;;;;;;;;;;;0.196;0.196;0.196
ENST00000589827_90_90;0.625;;;;;;;;;;;;;;;;;;0.607;0.609;0.609
ENST00000590483_90_90;0.195;;;;;;;;;;;;;;;;;;0.2;0.2;0.2
ENST00000591437_90_90;0.822;;;;;;;;;;;;;;;;;;0.776;0.806;0.778
ENST00000591786_90_90;0.182;;;;;;;;;;;;;;;;;;0.187;0.188;0.188
ENSMUST00000021177_90_90;0.909;0.897;0.865;0.776;0.865;0.897;0.028;0.865;0.161;0.135;0.119;0.242;0.048;0.196;0.607;0.2;0.776;0.187;;;
ENSMUST00000090433_90_90;0.945;0.865;0.897;0.806;0.897;0.865;0.028;0.897;0.161;0.135;0.119;0.242;0.048;0.196;0.609;0.2;0.806;0.188;;;
ENSMUST00000103026_90_90;0.911;0.864;0.867;0.778;0.867;0.864;0.028;0.867;0.161;0.135;0.119;0.242;0.048;0.196;0.609;0.2;0.778;0.188;;;
