;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.942;0.614;0.614;0.614;0.614;0.614;0.62;1.0;1.0;0.947;0.947;0.946;0.61;0.537;0.527;0.537;0.947;0.947;0.947;0.947;0.947;0.947;0.931;0.61
transcript8_ENSMUNG00000002377;0.942;1.0;0.687;0.687;0.687;0.687;0.649;0.657;0.942;0.942;0.991;0.991;1.0;0.681;0.523;0.514;0.523;1.0;1.0;1.0;1.0;1.0;1.0;0.988;0.68
transcript23_ENSMUNG00000002377;0.614;0.687;1.0;1.0;0.988;0.988;0.991;1.0;0.614;0.614;0.806;0.806;0.771;0.994;0.204;0.171;0.204;0.773;0.773;0.773;0.726;0.726;0.726;0.717;0.994
transcript15_ENSMUNG00000002377;0.614;0.687;1.0;1.0;0.988;0.988;0.991;1.0;0.614;0.614;0.806;0.806;0.771;0.994;0.204;0.171;0.204;0.773;0.773;0.773;0.726;0.726;0.726;0.717;0.994
transcript16_ENSMUNG00000002377;0.614;0.687;0.988;0.988;1.0;0.988;0.991;0.982;0.614;0.614;0.806;0.806;0.771;0.994;0.22;0.185;0.22;0.773;0.773;0.773;0.742;0.742;0.742;0.733;0.994
transcript22_ENSMUNG00000002377;0.614;0.687;0.988;0.988;0.988;1.0;0.991;0.982;0.614;0.614;0.806;0.806;0.771;0.994;0.204;0.17;0.204;0.773;0.773;0.773;0.725;0.725;0.725;0.716;0.994
transcript3_ENSPCIG00000036398;0.614;0.649;0.991;0.991;0.991;0.991;1.0;0.992;0.614;0.614;0.792;0.792;0.732;1.0;0.217;0.18;0.217;0.757;0.757;0.757;0.709;0.709;0.709;0.697;1.0
transcript15_ENSPCIG00000036398;0.62;0.657;1.0;1.0;0.982;0.982;0.992;1.0;0.62;0.62;0.792;0.792;0.738;0.992;0.217;0.181;0.217;0.757;0.757;0.757;0.71;0.71;0.71;0.698;0.992
transcript7_ENSPCIG00000036398;1.0;0.942;0.614;0.614;0.614;0.614;0.614;0.62;1.0;1.0;0.947;0.947;0.946;0.61;0.537;0.527;0.537;0.947;0.947;0.947;0.947;0.947;0.947;0.931;0.61
transcript8_ENSPCIG00000036398;1.0;0.942;0.614;0.614;0.614;0.614;0.614;0.62;1.0;1.0;0.947;0.947;0.946;0.61;0.537;0.527;0.537;0.947;0.947;0.947;0.947;0.947;0.947;0.931;0.61
transcript7_ENSHGLG00100006079;0.947;0.991;0.806;0.806;0.806;0.806;0.792;0.792;0.947;0.947;1.0;1.0;0.99;0.804;0.529;0.52;0.529;0.99;0.99;0.99;0.99;0.99;0.99;0.976;0.804
transcript10_ENSHGLG00100006079;0.947;0.991;0.806;0.806;0.806;0.806;0.792;0.792;0.947;0.947;1.0;1.0;0.99;0.804;0.529;0.52;0.529;0.99;0.99;0.99;0.99;0.99;0.99;0.976;0.804
transcript10_ENSMUNG00000002391;0.946;1.0;0.771;0.771;0.771;0.771;0.732;0.738;0.946;0.946;0.99;0.99;1.0;0.761;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.76
