;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;1.0;0.586;0.107;0.945;1.0;0.281;0.761;0.214;0.161;0.942;1.0;0.071;0.139
ENST00000554308_90_90;0.586;1.0;0.175;0.591;0.562;0.338;0.332;0.286;0.264;0.618;0.586;0.116;0.0
ENST00000554511_90_90;0.107;0.175;1.0;0.111;0.105;0.21;0.079;0.0;0.663;0.113;0.107;0.0;0.0
ENST00000554684_90_90;0.945;0.591;0.111;1.0;0.947;0.22;0.712;0.185;0.166;1.0;0.945;0.073;0.143
ENST00000554943_90_90;1.0;0.562;0.105;0.947;1.0;0.273;0.765;0.21;0.158;0.945;1.0;0.07;0.137
ENST00000555029_90_90;0.281;0.338;0.21;0.22;0.273;1.0;0.355;0.359;0.175;0.225;0.281;0.0;0.0
ENST00000555462_90_90;0.761;0.332;0.079;0.712;0.765;0.355;1.0;0.15;0.074;0.706;0.762;0.095;0.184
ENST00000555470_90_90;0.214;0.286;0.0;0.185;0.21;0.359;0.15;1.0;0.0;0.189;0.214;0.0;0.0
ENST00000557018_90_90;0.161;0.264;0.663;0.166;0.158;0.175;0.074;0.0;1.0;0.17;0.162;0.0;0.0
ENSMUST00000048305_90_90;0.942;0.618;0.113;1.0;0.945;0.225;0.706;0.189;0.17;1.0;0.947;0.072;0.141
ENSMUST00000163095_90_90;1.0;0.586;0.107;0.945;1.0;0.281;0.762;0.214;0.162;0.947;1.0;0.069;0.135
ENSMUST00000223091_90_90;0.071;0.116;0.0;0.073;0.07;0.0;0.095;0.0;0.0;0.072;0.069;1.0;0.0
ENSMUST00000223459_90_90;0.139;0.0;0.0;0.143;0.137;0.0;0.184;0.0;0.0;0.141;0.135;0.0;1.0
