;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript31_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript7_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;0.867;0.962;0.867;0.83;0.899;0.925;0.891;0.962;0.927;0.962
transcript37_ENSCGRG00000018457;0.867;1.0;0.904;1.0;0.959;0.841;0.866;0.904;0.904;0.869;0.904
transcript31_ENSCGRG00001010245;0.962;0.904;1.0;0.904;0.868;0.936;0.962;0.928;1.0;0.965;1.0
transcript37_ENSCGRG00001010245;0.867;1.0;0.904;1.0;0.959;0.841;0.866;0.904;0.904;0.869;0.904
transcript49_ENSCGRG00001010245;0.83;0.959;0.868;0.959;1.0;0.804;0.83;0.865;0.868;0.833;0.868
transcript50_ENSCGRG00001010245;0.899;0.841;0.936;0.841;0.804;1.0;0.899;0.865;0.936;0.902;0.936
transcript51_ENSCGRG00001010245;0.925;0.866;0.962;0.866;0.83;0.899;1.0;0.891;0.962;0.927;0.962
transcript7_ENSPEMG00000024651;0.891;0.904;0.928;0.904;0.865;0.865;0.891;1.0;0.928;0.893;0.928
transcript31_ENSPEMG00000024651;0.962;0.904;1.0;0.904;0.868;0.936;0.962;0.928;1.0;0.965;1.0
transcript42_ENSPEMG00000024651;0.927;0.869;0.965;0.869;0.833;0.902;0.927;0.893;0.965;1.0;0.965
transcript43_ENSPEMG00000024651;0.962;0.904;1.0;0.904;0.868;0.936;0.962;0.928;1.0;0.965;1.0
