;ENSCAFT00000020196_90_90;ENSCAFT00000020210_90_90;ENST00000340296_90_90;ENST00000397119_90_90;ENST00000409197_90_90;ENST00000409317_90_90;ENST00000409453_90_90;ENST00000409773_90_90;ENST00000410079_90_90;ENST00000411953_90_90;ENST00000412370_90_90;ENST00000422646_90_90;ENST00000423910_90_90;ENST00000425485_90_90;ENST00000430778_90_90;ENST00000435234_90_90;ENST00000438879_90_90;ENST00000443458_90_90;ENST00000445378_90_90;ENST00000452242_90_90;ENST00000456808_90_90;ENST00000508530_90_90;ENSMUST00000081710_90_90;ENSMUST00000100028_90_90;ENSMUST00000112136_90_90;ENSMUST00000112138_90_90;ENSMUST00000112139_90_90;ENSMUST00000112140_90_90;ENSMUST00000112142_90_90;ENSMUST00000112144_90_90
ENSCAFT00000020196_90_90;1.0;0.762;0.762;0.905;0.762;0.857;0.857;0.905;0.81;0.286;0.286;0.476;0.381;0.524;0.143;0.619;0.619;0.333;0.238;0.667;0.476;0.714;0.762;0.857;0.905;0.762;0.714;0.952;0.857;0.952
ENSCAFT00000020210_90_90;0.762;1.0;1.0;0.85;1.0;0.895;0.8;0.85;0.944;0.2;0.333;0.474;0.444;0.706;0.167;0.824;0.55;0.25;0.353;0.684;0.556;0.941;1.0;0.895;0.762;1.0;0.941;0.81;0.895;0.81
ENST00000340296_90_90;0.762;1.0;1.0;0.81;1.0;0.895;0.762;0.81;0.895;0.19;0.316;0.474;0.421;0.706;0.167;0.824;0.524;0.238;0.353;0.684;0.526;0.941;1.0;0.895;0.762;1.0;0.941;0.81;0.895;0.81
ENST00000397119_90_90;0.905;0.85;0.81;1.0;0.81;0.905;0.952;1.0;0.739;0.261;0.261;0.524;0.348;0.571;0.19;0.667;0.565;0.429;0.286;0.714;0.435;0.762;0.85;0.95;0.905;0.85;0.8;0.952;0.95;0.952
ENST00000409197_90_90;0.762;1.0;1.0;0.81;1.0;0.895;0.762;0.81;0.895;0.19;0.316;0.474;0.421;0.706;0.167;0.824;0.524;0.238;0.353;0.684;0.526;0.941;1.0;0.895;0.762;1.0;0.941;0.81;0.895;0.81
ENST00000409317_90_90;0.857;0.895;0.895;0.905;0.895;1.0;0.857;0.905;0.81;0.286;0.286;0.579;0.381;0.632;0.211;0.737;0.619;0.333;0.316;0.789;0.476;0.842;0.895;1.0;0.857;0.895;0.842;0.905;1.0;0.905
ENST00000409453_90_90;0.857;0.8;0.762;0.952;0.762;0.857;1.0;0.952;0.696;0.273;0.273;0.55;0.364;0.6;0.2;0.7;0.591;0.45;0.3;0.75;0.455;0.8;0.8;0.9;0.95;0.8;0.842;0.905;0.9;0.905
ENST00000409773_90_90;0.905;0.85;0.81;1.0;0.81;0.905;0.952;1.0;0.739;0.261;0.261;0.524;0.348;0.571;0.19;0.667;0.565;0.429;0.286;0.714;0.435;0.762;0.85;0.95;0.905;0.85;0.8;0.952;0.95;0.952
ENST00000410079_90_90;0.81;0.944;0.895;0.739;0.895;0.81;0.696;0.739;1.0;0.286;0.421;0.429;0.526;0.632;0.15;0.737;0.619;0.217;0.316;0.619;0.632;0.842;0.944;0.85;0.81;0.944;0.889;0.857;0.85;0.857
ENST00000411953_90_90;0.286;0.2;0.19;0.261;0.19;0.286;0.273;0.261;0.286;1.0;0.6;0.462;0.5;0.25;0.5;0.222;0.533;0.545;0.273;0.353;0.429;0.2;0.2;0.3;0.35;0.2;0.211;0.333;0.3;0.333
ENST00000412370_90_90;0.286;0.333;0.316;0.261;0.316;0.286;0.273;0.261;0.421;0.6;1.0;0.462;0.8;0.429;0.333;0.375;0.533;0.417;0.556;0.353;0.667;0.333;0.333;0.3;0.35;0.333;0.353;0.333;0.3;0.333
ENST00000422646_90_90;0.476;0.474;0.474;0.524;0.474;0.579;0.55;0.524;0.429;0.462;0.462;1.0;0.615;0.643;0.364;0.562;0.733;0.538;0.545;0.733;0.643;0.5;0.474;0.579;0.55;0.474;0.5;0.524;0.579;0.524
ENST00000423910_90_90;0.381;0.444;0.421;0.348;0.421;0.381;0.364;0.348;0.526;0.5;0.8;0.615;1.0;0.571;0.273;0.5;0.667;0.357;0.6;0.471;0.833;0.444;0.444;0.4;0.45;0.444;0.471;0.429;0.4;0.429
ENST00000425485_90_90;0.524;0.706;0.706;0.571;0.706;0.632;0.6;0.571;0.632;0.25;0.429;0.643;0.571;1.0;0.231;0.857;0.688;0.312;0.5;0.8;0.714;0.75;0.706;0.632;0.6;0.706;0.75;0.571;0.632;0.571
ENST00000430778_90_90;0.143;0.167;0.167;0.19;0.167;0.211;0.2;0.19;0.15;0.5;0.333;0.364;0.273;0.231;1.0;0.2;0.267;0.444;0.25;0.267;0.231;0.176;0.167;0.211;0.2;0.167;0.176;0.19;0.211;0.19
ENST00000435234_90_90;0.619;0.824;0.824;0.667;0.824;0.737;0.7;0.667;0.737;0.222;0.375;0.562;0.5;0.857;0.2;1.0;0.611;0.278;0.429;0.812;0.625;0.875;0.824;0.737;0.7;0.824;0.875;0.667;0.737;0.667
ENST00000438879_90_90;0.619;0.55;0.524;0.565;0.524;0.619;0.591;0.565;0.619;0.533;0.533;0.733;0.667;0.688;0.267;0.611;1.0;0.412;0.4;0.765;0.8;0.55;0.55;0.65;0.7;0.55;0.579;0.667;0.65;0.667
ENST00000443458_90_90;0.333;0.25;0.238;0.429;0.238;0.333;0.45;0.429;0.217;0.545;0.417;0.538;0.357;0.312;0.444;0.278;0.412;1.0;0.364;0.412;0.312;0.25;0.25;0.35;0.4;0.25;0.263;0.381;0.35;0.381
ENST00000445378_90_90;0.238;0.353;0.353;0.286;0.353;0.316;0.3;0.286;0.316;0.273;0.556;0.545;0.6;0.5;0.25;0.429;0.4;0.364;1.0;0.4;0.5;0.375;0.353;0.316;0.3;0.353;0.375;0.286;0.316;0.286
ENST00000452242_90_90;0.667;0.684;0.684;0.714;0.684;0.789;0.75;0.714;0.619;0.353;0.353;0.733;0.471;0.8;0.267;0.812;0.765;0.412;0.4;1.0;0.588;0.722;0.684;0.789;0.75;0.684;0.722;0.714;0.789;0.714
ENST00000456808_90_90;0.476;0.556;0.526;0.435;0.526;0.476;0.455;0.435;0.632;0.429;0.667;0.643;0.833;0.714;0.231;0.625;0.8;0.312;0.5;0.588;1.0;0.556;0.556;0.5;0.55;0.556;0.588;0.524;0.5;0.524
ENST00000508530_90_90;0.714;0.941;0.941;0.762;0.941;0.842;0.8;0.762;0.842;0.2;0.333;0.5;0.444;0.75;0.176;0.875;0.55;0.25;0.375;0.722;0.556;1.0;0.941;0.842;0.8;0.941;1.0;0.762;0.842;0.762
ENSMUST00000081710_90_90;0.762;1.0;1.0;0.85;1.0;0.895;0.8;0.85;0.944;0.2;0.333;0.474;0.444;0.706;0.167;0.824;0.55;0.25;0.353;0.684;0.556;0.941;1.0;0.895;0.762;1.0;0.941;0.81;0.895;0.81
ENSMUST00000100028_90_90;0.857;0.895;0.895;0.95;0.895;1.0;0.9;0.95;0.85;0.3;0.3;0.579;0.4;0.632;0.211;0.737;0.65;0.35;0.316;0.789;0.5;0.842;0.895;1.0;0.857;0.895;0.842;0.905;1.0;0.905
ENSMUST00000112136_90_90;0.905;0.762;0.762;0.905;0.762;0.857;0.95;0.905;0.81;0.35;0.35;0.55;0.45;0.6;0.2;0.7;0.7;0.4;0.3;0.75;0.55;0.8;0.762;0.857;1.0;0.762;0.8;0.952;0.857;0.952
ENSMUST00000112138_90_90;0.762;1.0;1.0;0.85;1.0;0.895;0.8;0.85;0.944;0.2;0.333;0.474;0.444;0.706;0.167;0.824;0.55;0.25;0.353;0.684;0.556;0.941;1.0;0.895;0.762;1.0;0.941;0.81;0.895;0.81
ENSMUST00000112139_90_90;0.714;0.941;0.941;0.8;0.941;0.842;0.842;0.8;0.889;0.211;0.353;0.5;0.471;0.75;0.176;0.875;0.579;0.263;0.375;0.722;0.588;1.0;0.941;0.842;0.8;0.941;1.0;0.762;0.842;0.762
ENSMUST00000112140_90_90;0.952;0.81;0.81;0.952;0.81;0.905;0.905;0.952;0.857;0.333;0.333;0.524;0.429;0.571;0.19;0.667;0.667;0.381;0.286;0.714;0.524;0.762;0.81;0.905;0.952;0.81;0.762;1.0;0.905;1.0
ENSMUST00000112142_90_90;0.857;0.895;0.895;0.95;0.895;1.0;0.9;0.95;0.85;0.3;0.3;0.579;0.4;0.632;0.211;0.737;0.65;0.35;0.316;0.789;0.5;0.842;0.895;1.0;0.857;0.895;0.842;0.905;1.0;0.905
