;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.818;0.443;0.659;0.12;0.175;0.497;0.59;0.332;1.0;0.828
ENST00000360057_90_90;0.818;1.0;0.54;0.828;0.12;0.217;0.544;0.7;0.332;0.818;0.659
ENST00000378098_90_90;0.443;0.54;1.0;0.645;0.169;0.348;0.353;0.756;0.056;0.443;0.529
ENST00000378099_90_90;0.659;0.828;0.645;1.0;0.138;0.258;0.639;0.589;0.182;0.659;0.793
ENST00000482940_90_90;0.12;0.12;0.169;0.138;1.0;0.282;0.351;0.158;0.0;0.12;0.138
ENST00000489798_90_90;0.175;0.217;0.348;0.258;0.282;1.0;0.274;0.303;0.0;0.175;0.209
ENST00000538212_90_90;0.497;0.544;0.353;0.639;0.351;0.274;1.0;0.329;0.19;0.497;0.583
ENST00000552881_90_90;0.59;0.7;0.756;0.589;0.158;0.303;0.329;1.0;0.193;0.59;0.474
ENST00000639328_90_90;0.332;0.332;0.056;0.182;0.0;0.0;0.19;0.193;1.0;0.332;0.182
ENSMUST00000067888_90_90;1.0;0.818;0.443;0.659;0.12;0.175;0.497;0.59;0.332;1.0;0.828
ENSMUST00000114644_90_90;0.828;0.659;0.529;0.793;0.138;0.209;0.583;0.474;0.182;0.828;1.0
