;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;;0.871;0.877;0.958;0.184;0.876;0.2;0.958;0.224;0.828;0.774;0.774;0.849;0.879;0.857;0.165;0.219;0.849;0.077
ENST00000333957_90_90;0.871;;;;;;;;;;0.883;0.883;0.974;0.944;0.775;0.18;0.241;0.974;0.085
ENST00000396028_90_90;0.877;;;;;;;;;;0.888;0.888;0.809;0.838;0.934;0.165;0.22;0.809;0.077
ENST00000446597_90_90;0.958;;;;;;;;;;0.809;0.809;0.888;0.918;0.857;0.165;0.219;0.888;0.077
ENST00000535555_90_90;0.184;;;;;;;;;;0.209;0.209;0.209;0.201;0.234;0.944;0.0;0.209;0.0
ENST00000536386_90_90;0.876;;;;;;;;;;0.85;0.85;0.775;0.803;0.98;0.209;0.211;0.775;0.073
ENST00000539615_90_90;0.2;;;;;;;;;;0.182;0.182;0.181;0.215;0.197;0.0;0.0;0.181;0.0
ENST00000542676_90_90;0.958;;;;;;;;;;0.809;0.809;0.888;0.918;0.857;0.165;0.219;0.888;0.077
ENST00000542683_90_90;0.224;;;;;;;;;;0.23;0.23;0.293;0.281;0.192;0.156;0.09;0.293;0.0
ENST00000545552_90_90;0.828;;;;;;;;;;0.882;0.882;0.804;0.833;0.883;0.2;0.219;0.804;0.076
ENSMUST00000087485_90_90;0.774;0.883;0.888;0.809;0.209;0.85;0.182;0.809;0.23;0.882;;;;;;;;;
ENSMUST00000111758_90_90;0.774;0.883;0.888;0.809;0.209;0.85;0.182;0.809;0.23;0.882;;;;;;;;;
ENSMUST00000171349_90_90;0.849;0.974;0.809;0.888;0.209;0.775;0.181;0.888;0.293;0.804;;;;;;;;;
ENSMUST00000203187_90_90;0.879;0.944;0.838;0.918;0.201;0.803;0.215;0.918;0.281;0.833;;;;;;;;;
ENSMUST00000203673_90_90;0.857;0.775;0.934;0.857;0.234;0.98;0.197;0.857;0.192;0.883;;;;;;;;;
ENSMUST00000204043_90_90;0.165;0.18;0.165;0.165;0.944;0.209;0.0;0.165;0.156;0.2;;;;;;;;;
ENSMUST00000204140_90_90;0.219;0.241;0.22;0.219;0.0;0.211;0.0;0.219;0.09;0.219;;;;;;;;;
ENSMUST00000204655_90_90;0.849;0.974;0.809;0.888;0.209;0.775;0.181;0.888;0.293;0.804;;;;;;;;;
ENSMUST00000205119_90_90;0.077;0.085;0.077;0.077;0.0;0.073;0.0;0.077;0.0;0.076;;;;;;;;;
