;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.682;0.409;0.227;0.636;0.609;0.105;0.238;0.565;0.429;0.739
ENST00000280758_90_90;0.682;1.0;0.364;0.238;0.944;0.895;0.111;0.389;0.591;0.381;0.773
ENST00000357167_90_90;0.409;0.364;1.0;0.111;0.318;0.304;0.167;0.056;0.16;0.917;0.32
ENST00000415943_90_90;0.227;0.238;0.111;1.0;0.25;0.238;0.0;0.25;0.316;0.118;0.261
ENST00000420571_90_90;0.636;0.944;0.318;0.25;1.0;0.842;0.118;0.412;0.619;0.333;0.727
ENST00000490090_90_90;0.609;0.895;0.304;0.238;0.842;1.0;0.053;0.389;0.591;0.318;0.696
ENST00000494235_90_90;0.105;0.111;0.167;0.0;0.118;0.053;1.0;0.0;0.0;0.182;0.095
ENST00000550706_90_90;0.238;0.389;0.056;0.25;0.412;0.389;0.0;1.0;0.333;0.059;0.273
ENSMUST00000020231_90_90;0.565;0.591;0.16;0.316;0.619;0.591;0.0;0.333;1.0;0.167;0.81
ENSMUST00000105306_90_90;0.429;0.381;0.917;0.118;0.333;0.318;0.182;0.059;0.167;1.0;0.333
ENSMUST00000105307_90_90;0.739;0.773;0.32;0.261;0.727;0.696;0.095;0.273;0.81;0.333;1.0
