;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.933;0.933;1.0;0.933;0.477;0.818;0.711;0.901;0.901;0.901;0.749;0.757;0.946;0.784;0.657;0.81;0.721;0.802;0.733;0.784;0.721;0.68;0.77;0.793;0.643;0.643
transcript17_ENSHGLG00100003156;1.0;1.0;0.933;0.933;1.0;0.933;0.477;0.818;0.711;0.901;0.901;0.901;0.749;0.757;0.946;0.784;0.657;0.81;0.721;0.802;0.733;0.784;0.721;0.68;0.77;0.793;0.643;0.643
transcript20_ENSHGLG00100003156;0.933;0.933;1.0;1.0;0.933;1.0;0.543;0.885;0.765;0.968;0.968;0.968;0.7;0.794;0.988;0.732;0.7;0.825;0.765;0.817;0.777;0.831;0.765;0.664;0.818;0.799;0.686;0.686
transcript13_ENSHGLG00000019563;0.933;0.933;1.0;1.0;0.933;1.0;0.543;0.885;0.765;0.968;0.968;0.968;0.7;0.794;0.988;0.732;0.7;0.825;0.765;0.817;0.777;0.831;0.765;0.664;0.818;0.799;0.686;0.686
transcript17_ENSHGLG00000019563;1.0;1.0;0.933;0.933;1.0;0.933;0.477;0.818;0.711;0.901;0.901;0.901;0.749;0.757;0.946;0.784;0.657;0.81;0.721;0.802;0.733;0.784;0.721;0.68;0.77;0.793;0.643;0.643
transcript25_ENSHGLG00000019563;0.933;0.933;1.0;1.0;0.933;1.0;0.543;0.885;0.765;0.968;0.968;0.968;0.7;0.794;0.988;0.732;0.7;0.825;0.765;0.817;0.777;0.831;0.765;0.664;0.818;0.799;0.686;0.686
transcript26_ENSHGLG00000019563;0.477;0.477;0.543;0.543;0.477;0.543;1.0;0.435;0.41;0.511;0.511;0.511;0.243;0.434;0.53;0.275;0.403;0.461;0.434;0.453;0.442;0.469;0.434;0.288;0.453;0.436;0.395;0.395
transcript27_ENSHGLG00000019563;0.818;0.818;0.885;0.885;0.818;0.885;0.435;1.0;0.719;0.913;0.913;0.913;0.635;0.696;0.872;0.616;0.617;0.75;0.678;0.742;0.689;0.738;0.678;0.585;0.724;0.706;0.605;0.605
transcript0_ENSHGLG00100006079;0.711;0.711;0.765;0.765;0.711;0.765;0.41;0.719;1.0;0.79;0.79;0.79;0.569;0.938;0.756;0.551;0.613;0.645;0.655;0.639;0.663;0.695;0.655;0.519;0.668;0.667;0.603;0.603
transcript13_ENSHGLG00100006079;0.901;0.901;0.968;0.968;0.901;0.968;0.511;0.913;0.79;1.0;1.0;1.0;0.722;0.766;0.956;0.7;0.681;0.812;0.746;0.803;0.758;0.811;0.746;0.649;0.798;0.78;0.668;0.668
