;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript32_ENSSTOG00000019743;transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript47_ENSPEMG00000024651;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584
transcript40_ENSRNOG00000031503;1.0;0.907;0.844;0.844;0.844;0.794;0.778;0.81;0.778;0.629;0.694;0.694;0.627
transcript47_ENSRNOG00000031503;0.907;1.0;0.766;0.766;0.766;0.831;0.845;0.817;0.783;0.684;0.639;0.639;0.655
transcript32_ENSSTOG00000019743;0.844;0.766;1.0;1.0;1.0;0.922;0.906;0.938;0.906;0.734;0.797;0.797;0.656
transcript7_ENSSTOG00000019743;0.844;0.766;1.0;1.0;1.0;0.922;0.906;0.938;0.906;0.734;0.797;0.797;0.656
transcript25_ENSSTOG00000019743;0.844;0.766;1.0;1.0;1.0;0.922;0.906;0.938;0.906;0.734;0.797;0.797;0.656
transcript24_ENSSTOG00000019743;0.794;0.831;0.922;0.922;0.922;1.0;0.983;0.983;0.95;0.797;0.774;0.774;0.712
transcript47_ENSMUGG00000013649;0.778;0.845;0.906;0.906;0.906;0.983;1.0;0.967;0.933;0.81;0.758;0.758;0.695
transcript20_ENSMUGG00000013649;0.81;0.817;0.938;0.938;0.938;0.983;0.967;1.0;0.967;0.783;0.79;0.79;0.7
transcript20_ENSMUGG00000013592;0.778;0.783;0.906;0.906;0.906;0.95;0.933;0.967;1.0;0.75;0.758;0.758;0.667
transcript47_ENSPEMG00000024651;0.629;0.684;0.734;0.734;0.734;0.797;0.81;0.783;0.75;1.0;0.922;0.922;0.589
transcript19_ENSPEMG00000024651;0.694;0.639;0.797;0.797;0.797;0.774;0.758;0.79;0.758;0.922;1.0;1.0;0.576
transcript38_ENSPEMG00000024651;0.694;0.639;0.797;0.797;0.797;0.774;0.758;0.79;0.758;0.922;1.0;1.0;0.576
transcript27_ENSNGAG00000018584;0.627;0.655;0.656;0.656;0.656;0.712;0.695;0.7;0.667;0.589;0.576;0.576;1.0
