;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.463;0.223;0.207;0.049;0.215;0.201;0.467;0.463;0.103;0.231;0.208;0.203;0.086;0.463;0.467
ENSCAFT00000027149_90_90;0.463;1.0;0.373;0.37;0.057;0.381;0.367;0.967;0.977;0.149;0.373;0.346;0.298;0.132;0.978;0.968
ENST00000256062_90_90;0.223;0.373;1.0;0.878;0.138;0.82;0.78;0.376;0.373;0.177;0.737;0.721;0.497;0.242;0.373;0.376
ENST00000539277_90_90;0.207;0.37;0.878;1.0;0.122;0.934;0.894;0.363;0.37;0.168;0.735;0.721;0.468;0.237;0.37;0.363
ENST00000550354_90_90;0.049;0.057;0.138;0.122;1.0;0.114;0.074;0.058;0.057;0.0;0.109;0.074;0.178;0.0;0.057;0.058
ENST00000551659_90_90;0.215;0.381;0.82;0.934;0.114;1.0;0.96;0.374;0.381;0.166;0.794;0.78;0.531;0.221;0.381;0.374
ENST00000552618_90_90;0.201;0.367;0.78;0.894;0.074;0.96;1.0;0.36;0.367;0.173;0.78;0.81;0.512;0.23;0.367;0.36
ENST00000373701_90_90;0.467;0.967;0.376;0.363;0.058;0.374;0.36;1.0;0.99;0.145;0.387;0.36;0.29;0.123;0.989;0.999
ENST00000373719_90_90;0.463;0.977;0.373;0.37;0.057;0.381;0.367;0.99;1.0;0.149;0.384;0.358;0.295;0.13;0.999;0.989
ENST00000444774_90_90;0.103;0.149;0.177;0.168;0.0;0.166;0.173;0.145;0.149;1.0;0.16;0.166;0.274;0.634;0.149;0.145
ENSMUST00000060095_90_90;0.231;0.373;0.737;0.735;0.109;0.794;0.78;0.387;0.384;0.16;1.0;0.96;0.541;0.209;0.384;0.386
ENSMUST00000100772_90_90;0.208;0.346;0.721;0.721;0.074;0.78;0.81;0.36;0.358;0.166;0.96;1.0;0.502;0.218;0.357;0.359
ENSMUST00000140797_90_90;0.203;0.298;0.497;0.468;0.178;0.531;0.512;0.29;0.295;0.274;0.541;0.502;1.0;0.366;0.296;0.29
ENSMUST00000203991_90_90;0.086;0.132;0.242;0.237;0.0;0.221;0.23;0.123;0.13;0.634;0.209;0.218;0.366;1.0;0.131;0.124
ENSMUST00000044475_90_90;0.463;0.978;0.373;0.37;0.057;0.381;0.367;0.989;0.999;0.149;0.384;0.357;0.296;0.131;1.0;0.99
ENSMUST00000119299_90_90;0.467;0.968;0.376;0.363;0.058;0.374;0.36;0.999;0.989;0.145;0.386;0.359;0.29;0.124;0.99;1.0
