;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.793;0.54;0.225;0.386;0.202;0.111;0.074;0.038;0.096;0.068;0.065;0.933;0.44;0.44;0.44;0.516;0.342;0.44;0.44;0.417;0.027;0.264;0.098;0.249
ENST00000319481_90_90;0.793;1.0;0.585;0.154;0.373;0.193;0.111;0.084;0.054;0.084;0.057;0.053;0.625;0.463;0.463;0.463;0.483;0.381;0.463;0.463;0.231;0.033;0.275;0.115;0.243
ENST00000357041_90_90;0.54;0.585;1.0;0.0;0.635;0.326;0.193;0.0;0.0;0.0;0.094;0.087;0.465;0.798;0.798;0.798;0.816;0.665;0.798;0.798;0.0;0.06;0.483;0.0;0.348
ENST00000399441_90_90;0.225;0.154;0.0;1.0;0.0;0.0;0.0;0.32;0.227;0.437;0.0;0.0;0.291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.649;0.0;0.0;0.481;0.0
ENST00000399443_90_90;0.386;0.373;0.635;0.0;1.0;0.476;0.355;0.0;0.0;0.0;0.0;0.145;0.446;0.95;0.95;0.95;0.802;0.803;0.95;0.95;0.0;0.069;0.561;0.0;0.294
ENST00000578013_90_90;0.202;0.193;0.326;0.0;0.476;1.0;0.066;0.0;0.0;0.0;0.0;0.0;0.222;0.476;0.476;0.476;0.393;0.597;0.476;0.476;0.0;0.0;0.087;0.0;0.0
ENST00000578055_90_90;0.111;0.111;0.193;0.0;0.355;0.066;1.0;0.0;0.0;0.0;0.0;0.416;0.144;0.304;0.304;0.304;0.271;0.135;0.304;0.304;0.0;0.219;0.345;0.0;0.345
ENST00000578091_90_90;0.074;0.084;0.0;0.32;0.0;0.0;0.0;1.0;0.73;0.654;0.0;0.0;0.094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.212;0.0;0.0;0.524;0.0
ENST00000579851_90_90;0.038;0.054;0.0;0.227;0.0;0.0;0.0;0.73;1.0;0.438;0.0;0.0;0.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.109;0.0;0.0;0.441;0.0
ENST00000582645_90_90;0.096;0.084;0.0;0.437;0.0;0.0;0.0;0.654;0.438;1.0;0.0;0.0;0.122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.277;0.0;0.0;0.47;0.0
ENST00000584119_90_90;0.068;0.057;0.094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.065;0.053;0.087;0.0;0.145;0.0;0.416;0.0;0.0;0.0;0.0;1.0;0.085;0.179;0.179;0.179;0.16;0.085;0.179;0.179;0.0;0.0;0.256;0.0;0.256
ENSMUST00000074352_90_90;0.933;0.625;0.465;0.291;0.446;0.222;0.144;0.094;0.045;0.122;0.0;0.085;1.0;0.402;0.402;0.402;0.535;0.32;0.402;0.402;0.384;0.023;0.235;0.086;0.242
ENSMUST00000117361_90_90;0.44;0.463;0.798;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.748;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000118313_90_90;0.44;0.463;0.798;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.748;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119043_90_90;0.44;0.463;0.798;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.748;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119512_90_90;0.516;0.483;0.816;0.0;0.802;0.393;0.271;0.0;0.0;0.0;0.0;0.16;0.535;0.748;0.748;0.748;1.0;0.582;0.748;0.748;0.0;0.045;0.451;0.0;0.456
ENSMUST00000121774_90_90;0.342;0.381;0.665;0.0;0.803;0.597;0.135;0.0;0.0;0.0;0.0;0.085;0.32;0.769;0.769;0.769;0.582;1.0;0.769;0.769;0.0;0.0;0.381;0.0;0.132
ENSMUST00000121808_90_90;0.44;0.463;0.798;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.748;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000121888_90_90;0.44;0.463;0.798;0.0;0.95;0.476;0.304;0.0;0.0;0.0;0.0;0.179;0.402;1.0;1.0;1.0;0.748;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000122175_90_90;0.417;0.231;0.0;0.649;0.0;0.0;0.0;0.212;0.109;0.277;0.0;0.0;0.384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.205;0.0
ENSMUST00000124570_90_90;0.027;0.033;0.06;0.0;0.069;0.0;0.219;0.0;0.0;0.0;0.0;0.0;0.023;0.063;0.063;0.063;0.045;0.0;0.063;0.063;0.0;1.0;0.093;0.0;0.081
