;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.48;0.579;0.533;0.857;0.786;0.8;0.6;0.333;0.778;0.714;0.667;0.143;0.214;0.062;0.6;0.476;0.65;0.6;0.75;0.933;0.133;0.333
ENSCAFT00000027452_90_90;0.48;1.0;0.833;0.529;0.706;0.556;0.765;0.588;0.353;0.842;0.588;0.647;0.118;0.176;0.111;0.588;0.889;0.895;0.944;0.55;0.6;0.111;0.278
ENST00000271850_90_90;0.579;0.833;1.0;0.28;0.357;0.481;0.407;0.542;0.36;0.704;0.5;0.56;0.08;0.16;0.261;0.52;1.0;0.636;0.667;0.778;0.455;0.111;0.211
ENST00000302206_90_90;0.533;0.529;0.28;1.0;0.5;0.3;0.6;0.438;0.25;0.333;0.316;0.389;0.083;0.0;0.0;0.333;0.35;0.421;0.444;0.438;0.533;0.222;0.556
ENST00000323144_90_90;0.857;0.706;0.357;0.5;1.0;0.6;0.875;0.526;0.368;0.462;0.722;0.632;0.267;0.312;0.0;0.579;0.476;0.632;0.765;0.588;0.8;0.154;0.385
ENST00000328159_90_90;0.786;0.556;0.481;0.3;0.6;1.0;0.6;0.722;0.556;0.429;0.833;0.833;0.235;0.353;0.0;0.778;0.65;0.571;0.455;0.812;0.706;0.133;0.25
ENST00000330188_90_90;0.8;0.765;0.407;0.6;0.875;0.6;1.0;0.611;0.444;0.462;0.632;0.722;0.267;0.312;0.0;0.667;0.55;0.632;0.667;0.688;0.8;0.154;0.385
ENST00000341372_90_90;0.6;0.588;0.542;0.438;0.526;0.722;0.611;1.0;0.562;0.321;0.765;0.875;0.2;0.25;0.0;0.812;0.722;0.409;0.429;0.929;0.5;0.154;0.286
ENST00000341485_90_90;0.333;0.353;0.36;0.25;0.368;0.556;0.444;0.562;1.0;0.172;0.588;0.688;0.154;0.417;0.0;0.625;0.5;0.227;0.238;0.643;0.278;0.0;0.077
ENST00000368530_90_90;0.778;0.842;0.704;0.333;0.462;0.429;0.462;0.321;0.172;1.0;0.345;0.345;0.08;0.115;0.261;0.31;0.636;1.0;0.842;0.455;0.778;0.111;0.278
ENST00000368531_90_90;0.714;0.588;0.5;0.316;0.722;0.833;0.632;0.765;0.588;0.345;1.0;0.882;0.25;0.375;0.0;0.824;0.684;0.455;0.55;0.867;0.556;0.143;0.267
ENST00000368533_90_90;0.667;0.647;0.56;0.389;0.632;0.833;0.722;0.875;0.688;0.345;0.882;1.0;0.25;0.375;0.0;0.938;0.778;0.455;0.476;1.0;0.556;0.143;0.267
ENST00000509409_90_90;0.143;0.118;0.08;0.083;0.267;0.235;0.267;0.2;0.154;0.08;0.25;0.25;1.0;0.25;0.0;0.267;0.111;0.111;0.118;0.143;0.143;0.333;0.167
ENST00000509601_90_90;0.214;0.176;0.16;0.0;0.312;0.353;0.312;0.25;0.417;0.115;0.375;0.375;0.25;1.0;0.0;0.4;0.222;0.158;0.167;0.286;0.2;0.0;0.0
ENST00000515609_90_90;0.062;0.111;0.261;0.0;0.0;0.0;0.0;0.0;0.0;0.261;0.0;0.0;0.0;0.0;1.0;0.0;0.111;0.111;0.118;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.6;0.588;0.52;0.333;0.579;0.778;0.667;0.812;0.625;0.31;0.824;0.938;0.267;0.4;0.0;1.0;0.722;0.409;0.429;0.929;0.5;0.154;0.286
ENSMUST00000029549_90_90;0.476;0.889;1.0;0.35;0.476;0.65;0.55;0.722;0.5;0.636;0.684;0.778;0.111;0.222;0.111;0.722;1.0;0.652;0.682;0.609;0.4;0.105;0.2
ENSMUST00000118566_90_90;0.65;0.895;0.636;0.421;0.632;0.571;0.632;0.409;0.227;1.0;0.455;0.455;0.111;0.158;0.111;0.409;0.652;1.0;0.85;0.37;0.667;0.105;0.263
ENSMUST00000119158_90_90;0.6;0.944;0.667;0.444;0.765;0.455;0.667;0.429;0.238;0.842;0.55;0.476;0.118;0.167;0.118;0.429;0.682;0.85;1.0;0.385;0.545;0.111;0.278
ENSMUST00000119570_90_90;0.75;0.55;0.778;0.438;0.588;0.812;0.688;0.929;0.643;0.455;0.867;1.0;0.143;0.286;0.0;0.929;0.609;0.37;0.385;1.0;0.545;0.111;0.211
ENSMUST00000121503_90_90;0.933;0.6;0.455;0.533;0.8;0.706;0.8;0.5;0.278;0.778;0.556;0.556;0.143;0.2;0.0;0.5;0.4;0.667;0.545;0.545;1.0;0.125;0.312
ENSMUST00000127955_90_90;0.133;0.111;0.111;0.222;0.154;0.133;0.154;0.154;0.0;0.111;0.143;0.143;0.333;0.0;0.0;0.154;0.105;0.105;0.111;0.111;0.125;1.0;0.4
ENSMUST00000149432_90_90;0.333;0.278;0.211;0.556;0.385;0.25;0.385;0.286;0.077;0.278;0.267;0.267;0.167;0.0;0.0;0.286;0.2;0.263;0.278;0.211;0.312;0.4;1.0
