;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript22_ENSAPOG00000016134;0.933;0.933;0.933;1.0;1.0;0.921;0.527;0.447;0.282;0.282;0.909;0.872;0.933;0.933;0.933;0.566;0.526;0.871;0.767;0.688;0.871;0.933;0.7;0.688
transcript22_ENSAPOG00000023408;0.933;0.933;0.933;1.0;1.0;0.921;0.527;0.447;0.282;0.282;0.909;0.872;0.933;0.933;0.933;0.566;0.526;0.871;0.767;0.688;0.871;0.933;0.7;0.688
transcript22_ENSPNYG00000024266;0.919;0.919;0.919;0.921;0.921;1.0;0.526;0.452;0.286;0.286;0.833;0.799;0.919;0.919;0.919;0.551;0.512;0.907;0.787;0.675;0.857;0.919;0.687;0.675
transcript27_ENSAPOG00000016134;0.491;0.491;0.491;0.527;0.527;0.526;1.0;0.538;0.535;0.52;0.575;0.585;0.491;0.491;0.491;0.445;0.458;0.538;0.462;0.363;0.486;0.491;0.368;0.363
transcript27_ENSAOCG00000015695;0.417;0.417;0.417;0.447;0.447;0.452;0.538;1.0;0.606;0.629;0.489;0.456;0.417;0.417;0.417;0.654;0.698;0.491;0.46;0.294;0.431;0.417;0.299;0.294
transcript28_ENSAPOG00000016134;0.265;0.265;0.265;0.282;0.282;0.286;0.535;0.606;1.0;0.954;0.309;0.316;0.265;0.265;0.265;0.4;0.426;0.311;0.267;0.184;0.273;0.265;0.189;0.184
transcript28_ENSAOCG00000015695;0.265;0.265;0.265;0.282;0.282;0.286;0.52;0.629;0.954;1.0;0.309;0.316;0.265;0.265;0.265;0.412;0.44;0.311;0.267;0.184;0.273;0.265;0.189;0.184
