;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;1.0;0.891;0.18;0.964;0.12;0.9;0.13;0.171;0.066;0.166;0.467;0.13;0.13;0.166;0.262;0.166;0.066;0.13;0.405;0.13;1.0;0.804;0.927
ENST00000269137_90_90;0.891;1.0;0.195;0.927;0.169;0.864;0.132;0.212;0.067;0.128;0.543;0.133;0.133;0.128;0.322;0.128;0.068;0.128;0.476;0.129;0.891;0.696;0.961
ENST00000269138_90_90;0.18;0.195;1.0;0.18;0.245;0.117;0.553;0.213;0.285;0.536;0.209;0.596;0.596;0.536;0.347;0.536;0.307;0.479;0.235;0.502;0.18;0.225;0.195
ENST00000415083_90_90;0.964;0.927;0.18;1.0;0.156;0.937;0.122;0.198;0.063;0.119;0.504;0.123;0.123;0.119;0.298;0.119;0.064;0.119;0.442;0.12;0.964;0.768;0.891
ENST00000539244_90_90;0.12;0.169;0.245;0.156;1.0;0.093;0.234;0.282;0.0;0.231;0.151;0.252;0.252;0.231;0.24;0.231;0.0;0.203;0.17;0.213;0.12;0.15;0.13
ENST00000542420_90_90;0.9;0.864;0.117;0.937;0.093;1.0;0.063;0.211;0.067;0.061;0.539;0.064;0.064;0.061;0.32;0.061;0.067;0.061;0.473;0.062;0.9;0.705;0.828
ENST00000577572_90_90;0.13;0.132;0.553;0.122;0.234;0.063;1.0;0.204;0.665;0.506;0.112;0.565;0.565;0.506;0.176;0.506;0.291;0.465;0.124;0.485;0.13;0.161;0.14
ENST00000577636_90_90;0.171;0.212;0.213;0.198;0.282;0.211;0.204;1.0;0.256;0.206;0.376;0.218;0.218;0.206;0.666;0.206;0.283;0.175;0.427;0.184;0.171;0.215;0.185
ENST00000578700_90_90;0.066;0.067;0.285;0.063;0.0;0.067;0.665;0.256;1.0;0.262;0.125;0.291;0.291;0.262;0.215;0.262;0.402;0.238;0.141;0.249;0.066;0.083;0.072
ENST00000578954_90_90;0.166;0.128;0.536;0.119;0.231;0.061;0.506;0.206;0.262;1.0;0.111;0.551;0.551;1.0;0.178;1.0;0.285;0.431;0.123;0.455;0.166;0.208;0.179
ENST00000579061_90_90;0.467;0.543;0.209;0.504;0.151;0.539;0.112;0.376;0.125;0.111;1.0;0.115;0.115;0.111;0.564;0.111;0.13;0.104;0.873;0.106;0.467;0.366;0.504
ENST00000579640_90_90;0.13;0.133;0.596;0.123;0.252;0.064;0.565;0.218;0.291;0.551;0.115;1.0;1.0;0.551;0.188;0.551;0.635;0.485;0.129;0.51;0.13;0.161;0.14
ENST00000580642_90_90;0.13;0.133;0.596;0.123;0.252;0.064;0.565;0.218;0.291;0.551;0.115;1.0;1.0;0.551;0.188;0.551;0.635;0.485;0.129;0.51;0.13;0.161;0.14
ENST00000580751_90_90;0.166;0.128;0.536;0.119;0.231;0.061;0.506;0.206;0.262;1.0;0.111;0.551;0.551;1.0;0.178;1.0;0.285;0.431;0.123;0.455;0.166;0.208;0.179
ENST00000581021_90_90;0.262;0.322;0.347;0.298;0.24;0.32;0.176;0.666;0.215;0.178;0.564;0.188;0.188;0.178;1.0;0.178;0.233;0.155;0.643;0.163;0.262;0.329;0.282
ENST00000581570_90_90;0.166;0.128;0.536;0.119;0.231;0.061;0.506;0.206;0.262;1.0;0.111;0.551;0.551;1.0;0.178;1.0;0.285;0.431;0.123;0.455;0.166;0.208;0.179
ENST00000582448_90_90;0.066;0.068;0.307;0.064;0.0;0.067;0.291;0.283;0.402;0.285;0.13;0.635;0.635;0.285;0.233;0.285;1.0;0.249;0.147;0.263;0.066;0.083;0.072
ENST00000582792_90_90;0.13;0.128;0.479;0.119;0.203;0.061;0.465;0.175;0.238;0.431;0.104;0.485;0.485;0.431;0.155;0.431;0.249;1.0;0.115;0.438;0.13;0.161;0.14
ENST00000584083_90_90;0.405;0.476;0.235;0.442;0.17;0.473;0.124;0.427;0.141;0.123;0.873;0.129;0.129;0.123;0.643;0.123;0.147;0.115;1.0;0.118;0.405;0.392;0.437
ENST00000585121_90_90;0.13;0.129;0.502;0.12;0.213;0.062;0.485;0.184;0.249;0.455;0.106;0.51;0.51;0.455;0.163;0.455;0.263;0.438;0.118;1.0;0.13;0.161;0.14
ENSMUST00000040924_90_90;1.0;0.891;0.18;0.964;0.12;0.9;0.13;0.171;0.066;0.166;0.467;0.13;0.13;0.166;0.262;0.166;0.066;0.13;0.405;0.13;1.0;0.804;0.927
ENSMUST00000040964_90_90;0.804;0.696;0.225;0.768;0.15;0.705;0.161;0.215;0.083;0.208;0.366;0.161;0.161;0.208;0.329;0.208;0.083;0.161;0.392;0.161;0.804;1.0;0.732
ENSMUST00000092041_90_90;0.927;0.961;0.195;0.891;0.13;0.828;0.14;0.185;0.072;0.179;0.504;0.14;0.14;0.179;0.282;0.179;0.072;0.14;0.437;0.14;0.927;0.732;1.0
