;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.812;0.625;0.812;0.812;0.812;0.857;0.929;0.857;0.217;0.224;0.244;0.132;0.109;0.25;0.22;0.224
transcript7_ENSMUGG00000013649;0.812;1.0;0.812;1.0;1.0;1.0;0.706;0.765;0.706;0.267;0.276;0.317;0.15;0.123;0.308;0.271;0.276
transcript7_ENSMUGG00000013592;0.625;0.812;1.0;0.812;0.812;0.812;0.529;0.588;0.529;0.217;0.224;0.342;0.162;0.109;0.25;0.22;0.224
transcript7_ENSCGRG00015005362;0.812;1.0;0.812;1.0;1.0;1.0;0.706;0.765;0.706;0.267;0.276;0.317;0.15;0.123;0.308;0.271;0.276
transcript7_ENSCGRG00000018457;0.812;1.0;0.812;1.0;1.0;1.0;0.706;0.765;0.706;0.267;0.276;0.317;0.15;0.123;0.308;0.271;0.276
transcript7_ENSPEMG00000024651;0.812;1.0;0.812;1.0;1.0;1.0;0.706;0.765;0.706;0.267;0.276;0.317;0.15;0.123;0.308;0.271;0.276
transcript57_MGP-CAROLIEiJ-G0020234;0.857;0.706;0.529;0.706;0.706;0.706;1.0;0.929;1.0;0.217;0.224;0.244;0.103;0.089;0.226;0.2;0.203
transcript58_MGP-CAROLIEiJ-G0020234;0.929;0.765;0.588;0.765;0.765;0.765;0.929;1.0;0.929;0.233;0.241;0.268;0.128;0.107;0.245;0.217;0.22
transcript59_MGP-CAROLIEiJ-G0020234;0.857;0.706;0.529;0.706;0.706;0.706;1.0;0.929;1.0;0.217;0.224;0.244;0.103;0.089;0.226;0.2;0.203
transcript28_ENSMUGG00000013649;0.217;0.267;0.217;0.267;0.267;0.267;0.217;0.233;0.217;1.0;0.967;0.633;0.5;0.8;0.867;0.983;0.967
transcript42_ENSMUGG00000013649;0.224;0.276;0.224;0.276;0.276;0.276;0.224;0.241;0.224;0.967;1.0;0.655;0.517;0.828;0.833;0.95;0.933
transcript42_ENSMUGG00000013592;0.244;0.317;0.342;0.317;0.317;0.317;0.244;0.268;0.244;0.633;0.655;1.0;0.789;0.536;0.579;0.617;0.6
transcript52_ENSMUGG00000013592;0.132;0.15;0.162;0.15;0.15;0.15;0.103;0.128;0.103;0.5;0.517;0.789;1.0;0.625;0.464;0.508;0.492
transcript52_ENSCGRG00015005362;0.109;0.123;0.109;0.123;0.123;0.123;0.089;0.107;0.089;0.8;0.828;0.536;0.625;1.0;0.695;0.814;0.797
transcript53_ENSCGRG00015005362;0.25;0.308;0.25;0.308;0.308;0.308;0.226;0.245;0.226;0.867;0.833;0.579;0.464;0.695;1.0;0.881;0.864
transcript54_ENSCGRG00015005362;0.22;0.271;0.22;0.271;0.271;0.271;0.2;0.217;0.2;0.983;0.95;0.617;0.508;0.814;0.881;1.0;0.983
transcript55_ENSCGRG00015005362;0.224;0.276;0.224;0.276;0.276;0.276;0.203;0.22;0.203;0.967;0.933;0.6;0.492;0.797;0.864;0.983;1.0
