;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.972;0.788;0.788;0.879;0.788;0.0;0.7;0.788;0.972;0.788;0.788;0.609;0.972;0.322;0.404;0.263
ENST00000341049_90_90;0.972;1.0;0.746;0.746;0.913;0.746;0.058;0.665;0.746;1.0;0.746;0.746;0.657;1.0;0.3;0.461;0.283
ENST00000393467_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.207;0.061
ENST00000393468_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.207;0.061
ENST00000393470_90_90;0.879;0.913;0.815;0.815;1.0;0.815;0.062;0.726;0.815;0.913;0.815;0.815;0.72;0.913;0.33;0.373;0.208
ENST00000405348_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.207;0.061
ENST00000451122_90_90;0.0;0.058;0.0;0.0;0.062;0.0;1.0;0.0;0.0;0.071;0.0;0.0;0.101;0.071;0.0;0.133;0.375
ENST00000456473_90_90;0.7;0.665;0.886;0.886;0.726;0.886;0.0;1.0;0.886;0.665;0.886;0.886;0.587;0.665;0.472;0.226;0.067
ENST00000614113_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.207;0.061
ENSMUST00000007799_90_90;0.972;1.0;0.746;0.746;0.913;0.746;0.071;0.665;0.746;1.0;0.746;0.746;0.657;1.0;0.3;0.408;0.283
ENSMUST00000115453_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.182;0.061
ENSMUST00000115454_90_90;0.788;0.746;1.0;1.0;0.815;1.0;0.0;0.886;1.0;0.746;1.0;1.0;0.535;0.746;0.412;0.182;0.061
ENSMUST00000115455_90_90;0.609;0.657;0.535;0.535;0.72;0.535;0.101;0.587;0.535;0.657;0.535;0.535;1.0;0.657;0.457;0.425;0.266
ENSMUST00000115456_90_90;0.972;1.0;0.746;0.746;0.913;0.746;0.071;0.665;0.746;1.0;0.746;0.746;0.657;1.0;0.3;0.408;0.283
ENSMUST00000123439_90_90;0.322;0.3;0.412;0.412;0.33;0.412;0.0;0.472;0.412;0.3;0.412;0.412;0.457;0.3;1.0;0.302;0.097
ENSMUST00000150901_90_90;0.404;0.461;0.207;0.207;0.373;0.207;0.133;0.226;0.207;0.408;0.182;0.182;0.425;0.408;0.302;1.0;0.441
ENSMUST00000177234_90_90;0.263;0.283;0.061;0.061;0.208;0.061;0.375;0.067;0.061;0.283;0.061;0.061;0.266;0.283;0.097;0.441;1.0
