;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.431;0.974;0.087;0.036;0.869;0.881;0.214;0.121;1.0
ENST00000389900_90_90;0.431;1.0;0.457;0.09;0.064;0.511;0.471;0.317;0.146;0.402
ENST00000389902_90_90;0.974;0.457;1.0;0.054;0.033;0.901;0.843;0.193;0.133;0.968
ENST00000411812_90_90;0.087;0.09;0.054;1.0;0.326;0.06;0.129;0.419;0.434;0.106
ENST00000416985_90_90;0.036;0.064;0.033;0.326;1.0;0.038;0.05;0.228;0.331;0.042
ENST00000425013_90_90;0.869;0.511;0.901;0.06;0.038;1.0;0.961;0.181;0.16;0.843
ENSMUST00000053498_90_90;0.881;0.471;0.843;0.129;0.05;0.961;1.0;0.205;0.142;0.881
ENSMUST00000197296_90_90;0.214;0.317;0.193;0.419;0.228;0.181;0.205;1.0;0.248;0.214
ENSMUST00000200430_90_90;0.121;0.146;0.133;0.434;0.331;0.16;0.142;0.248;1.0;0.121
ENSMUST00000200607_90_90;1.0;0.402;0.968;0.106;0.042;0.843;0.881;0.214;0.121;1.0
