;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.859;0.703;0.956;0.956;0.627;0.458;0.276;0.197;0.394;0.19;0.145;0.223;0.905;0.712;0.978;0.978;0.923;0.884;0.978;0.905;0.171
ENST00000319770_90_90;0.859;1.0;0.81;0.905;0.905;0.557;0.541;0.322;0.236;0.448;0.178;0.159;0.267;0.908;0.829;0.884;0.884;0.829;0.977;0.884;0.908;0.193
ENST00000355772_90_90;0.703;0.81;1.0;0.733;0.733;0.39;0.438;0.204;0.129;0.258;0.133;0.136;0.328;0.755;1.0;0.733;0.733;0.774;0.81;0.733;0.755;0.185
ENST00000361959_90_90;0.956;0.905;0.733;1.0;1.0;0.593;0.49;0.291;0.214;0.406;0.162;0.143;0.241;0.828;0.748;0.978;0.978;0.923;0.884;0.978;0.828;0.173
ENST00000396801_90_90;0.956;0.905;0.733;1.0;1.0;0.593;0.49;0.291;0.214;0.406;0.162;0.143;0.241;0.828;0.748;0.978;0.978;0.923;0.884;0.978;0.828;0.173
ENST00000417772_90_90;0.627;0.557;0.39;0.593;0.593;1.0;0.7;0.417;0.307;0.576;0.234;0.21;0.0;0.603;0.398;0.573;0.573;0.522;0.537;0.573;0.603;0.254
ENST00000436774_90_90;0.458;0.541;0.438;0.49;0.49;0.7;1.0;0.595;0.296;0.643;0.206;0.212;0.0;0.482;0.449;0.469;0.469;0.496;0.518;0.469;0.482;0.364
ENST00000535485_90_90;0.276;0.322;0.204;0.291;0.291;0.417;0.595;1.0;0.468;0.73;0.325;0.339;0.0;0.278;0.208;0.27;0.27;0.285;0.298;0.27;0.278;0.625
ENST00000538829_90_90;0.197;0.236;0.129;0.214;0.214;0.307;0.296;0.468;1.0;0.539;0.71;0.659;0.0;0.199;0.131;0.193;0.193;0.137;0.213;0.193;0.199;0.421
ENST00000540915_90_90;0.394;0.448;0.258;0.406;0.406;0.576;0.643;0.73;0.539;1.0;0.411;0.377;0.0;0.394;0.263;0.384;0.384;0.329;0.424;0.384;0.394;0.458
ENST00000542351_90_90;0.19;0.178;0.133;0.162;0.162;0.234;0.206;0.325;0.71;0.411;1.0;0.744;0.0;0.192;0.133;0.186;0.186;0.13;0.206;0.186;0.192;0.441
ENST00000544482_90_90;0.145;0.159;0.136;0.143;0.143;0.21;0.212;0.339;0.659;0.377;0.744;1.0;0.0;0.148;0.136;0.143;0.143;0.109;0.159;0.143;0.148;0.485
ENST00000545946_90_90;0.223;0.267;0.328;0.241;0.241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.248;0.328;0.241;0.241;0.255;0.267;0.241;0.248;0.0
ENSMUST00000046064_90_90;0.905;0.908;0.755;0.828;0.828;0.603;0.482;0.278;0.199;0.394;0.192;0.148;0.248;1.0;0.779;0.859;0.859;0.812;0.936;0.859;1.0;0.167
ENSMUST00000054553_90_90;0.712;0.829;1.0;0.748;0.748;0.398;0.449;0.208;0.131;0.263;0.133;0.136;0.328;0.779;1.0;0.758;0.758;0.796;0.832;0.758;0.779;0.172
ENSMUST00000084275_90_90;0.978;0.884;0.733;0.978;0.978;0.573;0.469;0.27;0.193;0.384;0.186;0.143;0.241;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000088308_90_90;0.978;0.884;0.733;0.978;0.978;0.573;0.469;0.27;0.193;0.384;0.186;0.143;0.241;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000112424_90_90;0.923;0.829;0.774;0.923;0.923;0.522;0.496;0.285;0.137;0.329;0.13;0.109;0.255;0.812;0.796;0.951;0.951;1.0;0.863;0.951;0.812;0.168
ENSMUST00000112425_90_90;0.884;0.977;0.81;0.884;0.884;0.537;0.518;0.298;0.213;0.424;0.206;0.159;0.267;0.936;0.832;0.913;0.913;0.863;1.0;0.913;0.936;0.177
ENSMUST00000112427_90_90;0.978;0.884;0.733;0.978;0.978;0.573;0.469;0.27;0.193;0.384;0.186;0.143;0.241;0.859;0.758;1.0;1.0;0.951;0.913;1.0;0.859;0.161
ENSMUST00000112428_90_90;0.905;0.908;0.755;0.828;0.828;0.603;0.482;0.278;0.199;0.394;0.192;0.148;0.248;1.0;0.779;0.859;0.859;0.812;0.936;0.859;1.0;0.167
ENSMUST00000152752_90_90;0.171;0.193;0.185;0.173;0.173;0.254;0.364;0.625;0.421;0.458;0.441;0.485;0.0;0.167;0.172;0.161;0.161;0.168;0.177;0.161;0.167;1.0
