;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.838;0.757;0.514;0.243;0.081;0.361;0.333;0.944;0.972;0.278;0.028;0.167
ENST00000237247_90_90;0.838;1.0;0.737;0.379;0.123;0.032;0.412;0.382;0.821;0.846;0.184;0.152;0.222
ENST00000371037_90_90;0.757;0.737;1.0;0.449;0.222;0.037;0.344;0.312;0.692;0.718;0.212;0.031;0.219
ENST00000371039_90_90;0.514;0.379;0.449;1.0;0.241;0.028;0.32;0.333;0.474;0.462;0.25;0.045;0.16
ENST00000424320_90_90;0.243;0.123;0.222;0.241;1.0;0.0;0.412;0.438;0.237;0.231;0.235;0.077;0.538
ENST00000435165_90_90;0.081;0.032;0.037;0.028;0.0;1.0;0.1;0.05;0.023;0.045;0.583;0.0;0.0
ENSMUST00000066824_90_90;0.361;0.412;0.344;0.32;0.412;0.1;1.0;0.955;0.447;0.468;0.357;0.409;0.542
ENSMUST00000072481_90_90;0.333;0.382;0.312;0.333;0.438;0.05;0.955;1.0;0.457;0.447;0.321;0.429;0.565
ENSMUST00000080728_90_90;0.944;0.821;0.692;0.474;0.237;0.023;0.447;0.457;1.0;0.979;0.17;0.196;0.326
ENSMUST00000106882_90_90;0.972;0.846;0.718;0.462;0.231;0.045;0.468;0.447;0.979;1.0;0.189;0.191;0.319
ENSMUST00000149547_90_90;0.278;0.184;0.212;0.25;0.235;0.583;0.357;0.321;0.17;0.189;1.0;0.0;0.069
ENSMUST00000156596_90_90;0.028;0.152;0.031;0.045;0.077;0.0;0.409;0.429;0.196;0.191;0.0;1.0;0.6
ENSMUST00000183855_90_90;0.167;0.222;0.219;0.16;0.538;0.0;0.542;0.565;0.326;0.319;0.069;0.6;1.0
