;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.689;0.817;0.77;0.446;0.544;0.672;0.766;0.726;0.859;0.794;0.7;0.701;0.899;0.762;0.748;0.758;0.758;0.754;0.758;0.754;0.755;0.748
transcript38_ENSMSIG00000000513;0.689;1.0;0.988;0.985;0.647;0.674;0.684;0.689;0.718;0.653;0.599;0.516;0.456;0.631;0.533;0.506;0.517;0.517;0.532;0.53;0.537;0.546;0.54
transcript38_MGP-SPRETEiJ-G0021131;0.817;0.988;1.0;0.975;0.63;0.683;0.725;0.73;0.592;0.638;0.595;0.53;0.481;0.639;0.592;0.55;0.567;0.567;0.582;0.58;0.583;0.593;0.587
transcript38_ENSMUSG00000054036;0.77;0.985;0.975;1.0;0.653;0.683;0.661;0.672;0.601;0.583;0.504;0.464;0.413;0.581;0.49;0.456;0.468;0.468;0.486;0.485;0.493;0.512;0.498
transcript52_ENSMSIG00000000513;0.446;0.647;0.63;0.653;1.0;0.98;0.402;0.402;0.51;0.421;0.385;0.284;0.244;0.406;0.344;0.322;0.335;0.335;0.341;0.34;0.347;0.35;0.347
transcript52_MGP-SPRETEiJ-G0021131;0.544;0.674;0.683;0.683;0.98;1.0;0.443;0.445;0.434;0.419;0.385;0.295;0.257;0.417;0.384;0.35;0.366;0.366;0.376;0.374;0.378;0.383;0.38
transcript58_ENSMSIG00000000513;0.672;0.684;0.725;0.661;0.402;0.443;1.0;0.988;0.738;0.75;0.692;0.647;0.598;0.645;0.62;0.615;0.615;0.615;0.616;0.615;0.607;0.615;0.609
transcript58_ENSMUSG00000054036;0.766;0.689;0.73;0.672;0.402;0.445;0.988;1.0;0.618;0.684;0.59;0.591;0.547;0.611;0.577;0.556;0.559;0.559;0.57;0.569;0.566;0.586;0.569
transcript63_MGP-SPRETEiJ-G0021131;0.726;0.718;0.592;0.601;0.51;0.434;0.738;0.618;1.0;0.836;0.772;0.755;0.678;0.81;0.746;0.709;0.726;0.726;0.753;0.751;0.731;0.768;0.761
transcript54_ENSMUSG00000054036;0.859;0.653;0.638;0.583;0.421;0.419;0.75;0.684;0.836;1.0;0.875;0.818;0.778;0.887;0.845;0.814;0.826;0.826;0.845;0.845;0.825;0.853;0.831
transcript55_ENSMUSG00000054036;0.794;0.599;0.595;0.504;0.385;0.385;0.692;0.59;0.772;0.875;1.0;0.789;0.775;0.871;0.97;0.946;0.957;0.957;0.966;0.966;0.928;0.916;0.942
transcript8_MGP-CAROLIEiJ-G0020234;0.7;0.516;0.53;0.464;0.284;0.295;0.647;0.591;0.755;0.818;0.789;1.0;0.937;0.728;0.76;0.762;0.753;0.753;0.755;0.754;0.791;0.774;0.773
transcript8_ENSRNOG00000031503;0.701;0.456;0.481;0.413;0.244;0.257;0.598;0.547;0.678;0.778;0.775;0.937;1.0;0.722;0.68;0.714;0.692;0.692;0.675;0.675;0.709;0.678;0.685
transcript47_MGP-CAROLIEiJ-G0020234;0.899;0.631;0.639;0.581;0.406;0.417;0.645;0.611;0.81;0.887;0.871;0.728;0.722;1.0;0.796;0.779;0.79;0.79;0.789;0.793;0.759;0.754;0.768
transcript39_MGP-PahariEiJ-G0020237;0.762;0.533;0.592;0.49;0.344;0.384;0.62;0.577;0.746;0.845;0.97;0.76;0.68;0.796;1.0;0.962;0.977;0.977;1.0;1.0;0.952;0.958;0.98
transcript39_ENSRNOG00000031503;0.748;0.506;0.55;0.456;0.322;0.35;0.615;0.556;0.709;0.814;0.946;0.762;0.714;0.779;0.962;1.0;0.972;0.972;0.95;0.95;0.951;0.905;0.927
transcript31_ENSRNOG00000031503;0.758;0.517;0.567;0.468;0.335;0.366;0.615;0.559;0.726;0.826;0.957;0.753;0.692;0.79;0.977;0.972;1.0;1.0;0.976;0.976;0.978;0.932;0.955
transcript32_ENSRNOG00000031503;0.758;0.517;0.567;0.468;0.335;0.366;0.615;0.559;0.726;0.826;0.957;0.753;0.692;0.79;0.977;0.972;1.0;1.0;0.976;0.976;0.978;0.932;0.955
transcript32_ENSMUGG00000013649;0.754;0.532;0.582;0.486;0.341;0.376;0.616;0.57;0.753;0.845;0.966;0.755;0.675;0.789;1.0;0.95;0.976;0.976;1.0;0.998;0.954;0.96;0.981
