;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.768;1.0;0.54;1.0;1.0;0.549;0.239;0.549;0.524;1.0;1.0;0.309
ENST00000288381_90_90;0.768;1.0;0.768;0.48;0.768;0.734;0.481;0.326;0.481;0.342;0.734;0.734;0.309
ENST00000372068_90_90;1.0;0.768;1.0;0.54;1.0;1.0;0.549;0.239;0.549;0.524;1.0;1.0;0.307
ENST00000372072_90_90;0.54;0.48;0.54;1.0;0.54;0.549;0.999;0.444;0.999;0.738;0.549;0.549;0.523
ENST00000372073_90_90;1.0;0.768;1.0;0.54;1.0;1.0;0.549;0.239;0.549;0.524;1.0;1.0;0.307
ENSMUST00000087333_90_90;1.0;0.734;1.0;0.549;1.0;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000101198_90_90;0.549;0.481;0.549;0.999;0.549;0.568;1.0;0.42;1.0;0.757;0.568;0.568;0.502
ENSMUST00000112888_90_90;0.239;0.326;0.239;0.444;0.239;0.23;0.42;1.0;0.42;0.452;0.23;0.23;0.108
ENSMUST00000112889_90_90;0.549;0.481;0.549;0.999;0.549;0.568;1.0;0.42;1.0;0.757;0.568;0.568;0.502
ENSMUST00000112891_90_90;0.524;0.342;0.524;0.738;0.524;0.542;0.757;0.452;0.757;1.0;0.542;0.542;0.337
ENSMUST00000112896_90_90;1.0;0.734;1.0;0.549;1.0;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000133634_90_90;1.0;0.734;1.0;0.549;1.0;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000151914_90_90;0.309;0.309;0.307;0.523;0.307;0.316;0.502;0.108;0.502;0.337;0.316;0.316;1.0
