;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.947;0.529;0.324;0.565;0.5;0.5;0.382;0.371;0.5;0.433;0.433;0.433;0.433;0.433;0.433;0.414;0.2;0.419;0.333;0.333;0.333;0.556;0.5;0.5;0.565;0.5;0.371
transcript7_ENSAPOG00000023408;0.947;1.0;0.559;0.353;0.609;0.528;0.528;0.412;0.4;0.528;0.467;0.467;0.467;0.467;0.467;0.467;0.4;0.233;0.452;0.367;0.367;0.367;0.611;0.528;0.528;0.609;0.528;0.4
transcript20_ENSAPOG00000016134;0.529;0.559;1.0;0.694;0.529;0.944;0.944;0.614;0.651;0.694;0.757;0.757;0.757;0.757;0.757;0.757;0.703;0.568;0.659;0.658;0.658;0.658;0.517;0.694;0.694;0.529;0.739;0.651
transcript23_ENSAPOG00000023408;0.324;0.353;0.694;1.0;0.406;0.75;0.75;0.75;0.781;0.75;0.833;0.833;0.833;0.833;0.833;0.833;0.767;0.6;0.774;0.759;0.759;0.759;0.345;0.75;0.75;0.406;0.75;0.781
transcript22_ENSAPOG00000023408;0.565;0.609;0.529;0.406;1.0;0.5;0.5;0.621;0.6;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.533;0.367;0.484;0.556;0.556;0.556;1.0;0.5;0.5;1.0;0.5;0.6
transcript12_ENSAPOG00000023408;0.5;0.528;0.944;0.75;0.5;1.0;1.0;0.806;0.833;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.933;0.767;1.0;0.871;0.871;0.871;0.484;1.0;1.0;0.5;1.0;0.833
transcript12_ENSAPOG00000016134;0.5;0.528;0.944;0.75;0.5;1.0;1.0;0.659;0.698;0.735;0.811;0.811;0.811;0.811;0.811;0.811;0.757;0.622;0.705;0.711;0.711;0.711;0.484;0.735;0.735;0.5;0.783;0.698
transcript10_ENSAPOG00000016134;0.382;0.412;0.614;0.75;0.621;0.806;0.659;1.0;0.947;0.72;0.973;0.973;0.973;0.973;0.973;0.973;0.919;0.784;0.75;0.971;0.971;0.971;0.455;0.735;0.735;0.5;0.783;0.973
transcript17_ENSAPOG00000016134;0.371;0.4;0.651;0.781;0.6;0.833;0.698;0.947;1.0;0.755;1.0;1.0;1.0;1.0;1.0;1.0;0.946;0.811;0.773;1.0;1.0;1.0;0.441;0.755;0.755;0.486;0.804;1.0
transcript8_ENSAPOG00000016134;0.5;0.528;0.694;0.75;0.5;1.0;0.735;0.72;0.755;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.946;0.811;1.0;0.773;0.773;0.773;0.341;1.0;1.0;0.391;1.0;0.804
