;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.923;0.786;0.846;0.8;0.688;0.667;0.231;0.533;0.231;0.5;0.5;0.714;0.143
ENSCAFT00000005583_90_90;0.923;1.0;0.857;0.786;0.867;0.75;0.733;0.214;0.5;0.214;0.467;0.571;0.667;0.133
ENST00000272238_90_90;0.786;0.857;1.0;0.923;0.867;0.75;0.857;0.214;0.6;0.214;0.571;0.692;0.786;0.133
ENST00000381661_90_90;0.846;0.786;0.923;1.0;0.8;0.688;0.786;0.231;0.643;0.231;0.615;0.615;0.846;0.143
ENST00000635370_90_90;0.8;0.867;0.867;0.8;1.0;0.875;0.75;0.188;0.529;0.188;0.5;0.6;0.688;0.118
ENSMUST00000020884_90_90;0.688;0.75;0.75;0.688;0.875;1.0;0.867;0.267;0.625;0.267;0.6;0.6;0.8;0.188
ENSMUST00000095820_90_90;0.667;0.733;0.857;0.786;0.75;0.867;1.0;0.308;0.714;0.308;0.692;0.692;0.923;0.214
ENSMUST00000127185_90_90;0.231;0.214;0.214;0.231;0.188;0.267;0.308;1.0;0.364;0.6;0.444;0.083;0.333;0.333
ENSMUST00000140751_90_90;0.533;0.5;0.6;0.643;0.529;0.625;0.714;0.364;1.0;0.364;0.818;0.429;0.769;0.25
ENSMUST00000143131_90_90;0.231;0.214;0.214;0.231;0.188;0.267;0.308;0.6;0.364;1.0;0.444;0.0;0.333;0.6
ENSMUST00000153090_90_90;0.5;0.467;0.571;0.615;0.5;0.6;0.692;0.444;0.818;0.444;1.0;0.385;0.75;0.3
ENSMUST00000156727_90_90;0.5;0.571;0.692;0.615;0.6;0.6;0.692;0.083;0.429;0.0;0.385;1.0;0.615;0.0
ENSMUST00000221129_90_90;0.714;0.667;0.786;0.846;0.688;0.8;0.923;0.333;0.769;0.333;0.75;0.615;1.0;0.231
ENSMUST00000222103_90_90;0.143;0.133;0.133;0.143;0.118;0.188;0.214;0.333;0.25;0.6;0.3;0.0;0.231;1.0
