;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.45;0.523;0.09;0.0;0.012;0.097;0.0;0.0;0.107;0.0;0.134;0.11;0.458;0.12;0.007;0.119
ENSCAFT00000023892_90_90;0.45;1.0;0.788;0.127;0.0;0.097;0.135;0.0;0.0;0.148;0.046;0.179;0.149;0.483;0.161;0.059;0.16
ENSCAFT00000043832_90_90;0.523;0.788;1.0;0.112;0.0;0.181;0.119;0.0;0.0;0.128;0.041;0.162;0.137;0.391;0.147;0.054;0.146
ENST00000292476_90_90;0.09;0.127;0.112;1.0;0.419;0.066;0.907;0.483;0.71;0.784;0.558;0.651;0.858;0.123;0.765;0.7;0.769
ENST00000412686_90_90;0.0;0.0;0.0;0.419;1.0;0.0;0.462;0.182;0.59;0.332;0.312;0.333;0.42;0.0;0.466;0.546;0.464
ENST00000430038_90_90;0.012;0.097;0.181;0.066;0.0;1.0;0.072;0.0;0.0;0.082;0.066;0.01;0.008;0.029;0.009;0.007;0.009
ENST00000436336_90_90;0.097;0.135;0.119;0.907;0.462;0.072;1.0;0.403;0.783;0.865;0.605;0.715;0.769;0.136;0.84;0.661;0.844
ENST00000440514_90_90;0.0;0.0;0.0;0.483;0.182;0.0;0.403;1.0;0.485;0.368;0.402;0.384;0.502;0.0;0.415;0.454;0.418
ENST00000441580_90_90;0.0;0.0;0.0;0.71;0.59;0.0;0.783;0.485;1.0;0.648;0.613;0.589;0.656;0.0;0.718;0.764;0.722
ENST00000451876_90_90;0.107;0.148;0.128;0.784;0.332;0.082;0.865;0.368;0.648;1.0;0.493;0.821;0.651;0.156;0.717;0.535;0.715
ENST00000452047_90_90;0.0;0.046;0.041;0.558;0.312;0.066;0.605;0.402;0.613;0.493;1.0;0.383;0.454;0.0;0.488;0.503;0.492
ENSMUST00000070487_90_90;0.134;0.179;0.162;0.651;0.333;0.01;0.715;0.384;0.589;0.821;0.383;1.0;0.784;0.232;0.868;0.607;0.865
ENSMUST00000160422_90_90;0.11;0.149;0.137;0.858;0.42;0.008;0.769;0.502;0.656;0.651;0.454;0.784;1.0;0.184;0.903;0.771;0.907
ENSMUST00000160574_90_90;0.458;0.483;0.391;0.123;0.0;0.029;0.136;0.0;0.0;0.156;0.0;0.232;0.184;1.0;0.202;0.074;0.202
ENSMUST00000160629_90_90;0.12;0.161;0.147;0.765;0.466;0.009;0.84;0.415;0.718;0.717;0.488;0.868;0.903;0.202;1.0;0.73;0.996
ENSMUST00000160762_90_90;0.007;0.059;0.054;0.7;0.546;0.007;0.661;0.454;0.764;0.535;0.503;0.607;0.771;0.074;0.73;1.0;0.734
ENSMUST00000162244_90_90;0.119;0.16;0.146;0.769;0.464;0.009;0.844;0.418;0.722;0.715;0.492;0.865;0.907;0.202;0.996;0.734;1.0
