;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.682;0.874;0.597;0.859;0.955;0.225;0.304;0.946;0.888;0.63;0.63;0.946;0.267;0.581;0.309
ENST00000379697_90_90;0.682;1.0;0.472;0.242;0.525;0.551;0.263;0.375;0.644;0.531;0.307;0.307;0.584;0.336;0.706;0.073
ENST00000379698_90_90;0.874;0.472;1.0;0.669;0.894;0.896;0.232;0.33;0.712;0.838;0.604;0.604;0.755;0.277;0.519;0.277
ENST00000379716_90_90;0.597;0.242;0.669;1.0;0.652;0.632;0.0;0.032;0.541;0.611;0.889;0.889;0.576;0.042;0.285;0.402
ENST00000379726_90_90;0.859;0.525;0.894;0.652;1.0;0.848;0.226;0.301;0.797;0.817;0.588;0.588;0.738;0.27;0.506;0.27
ENST00000397821_90_90;0.955;0.551;0.896;0.632;0.848;1.0;0.219;0.312;0.799;0.794;0.571;0.571;0.849;0.262;0.493;0.263
ENST00000431164_90_90;0.225;0.263;0.232;0.0;0.226;0.219;1.0;0.69;0.213;0.241;0.0;0.0;0.227;0.731;0.341;0.0
ENST00000432234_90_90;0.304;0.375;0.33;0.032;0.301;0.312;0.69;1.0;0.239;0.299;0.032;0.032;0.254;0.72;0.418;0.0
ENSMUST00000073094_90_90;0.946;0.644;0.712;0.541;0.797;0.799;0.213;0.239;1.0;0.842;0.593;0.564;0.938;0.294;0.544;0.295
ENSMUST00000080394_90_90;0.888;0.531;0.838;0.611;0.817;0.794;0.241;0.299;0.842;1.0;0.669;0.632;0.896;0.332;0.652;0.333
ENSMUST00000112451_90_90;0.63;0.307;0.604;0.889;0.588;0.571;0.0;0.032;0.593;0.669;1.0;0.92;0.632;0.042;0.335;0.489
ENSMUST00000112453_90_90;0.63;0.307;0.604;0.889;0.588;0.571;0.0;0.032;0.564;0.632;0.92;1.0;0.599;0.039;0.317;0.45
ENSMUST00000112456_90_90;0.946;0.584;0.755;0.576;0.738;0.849;0.227;0.254;0.938;0.896;0.632;0.599;1.0;0.313;0.578;0.314
ENSMUST00000123433_90_90;0.267;0.336;0.277;0.042;0.27;0.262;0.731;0.72;0.294;0.332;0.042;0.039;0.313;1.0;0.466;0.0
ENSMUST00000141354_90_90;0.581;0.706;0.519;0.285;0.506;0.493;0.341;0.418;0.544;0.652;0.335;0.317;0.578;0.466;1.0;0.08
ENSMUST00000152426_90_90;0.309;0.073;0.277;0.402;0.27;0.263;0.0;0.0;0.295;0.333;0.489;0.45;0.314;0.0;0.08;1.0
