;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.448;0.878;0.796;0.208;0.061;0.163;0.333;0.7;0.082;0.469;0.436;0.448;0.436;0.448;0.436;0.448;0.796;0.957
ENSCAFT00000021670_90_90;0.448;1.0;0.474;0.569;0.25;0.048;0.225;0.333;0.426;0.125;0.333;0.868;1.0;0.868;1.0;0.868;1.0;0.569;0.474
ENST00000265969_90_90;0.878;0.474;1.0;0.833;0.234;0.106;0.188;0.362;0.771;0.104;0.565;0.436;0.474;0.436;0.474;0.436;0.474;0.833;0.917
ENST00000379472_90_90;0.796;0.569;0.833;1.0;0.227;0.043;0.205;0.395;0.723;0.114;0.417;0.5;0.569;0.5;0.569;0.5;0.569;1.0;0.833
ENST00000638366_90_90;0.208;0.25;0.234;0.227;1.0;0.2;0.643;0.5;0.275;0.357;0.407;0.184;0.25;0.184;0.25;0.184;0.25;0.227;0.234
ENST00000638825_90_90;0.061;0.048;0.106;0.043;0.2;1.0;0.133;0.091;0.125;0.182;0.185;0.0;0.048;0.0;0.048;0.0;0.048;0.043;0.083
ENST00000639325_90_90;0.163;0.225;0.188;0.205;0.643;0.133;1.0;0.526;0.282;0.5;0.321;0.158;0.225;0.158;0.225;0.158;0.225;0.205;0.188
ENST00000639495_90_90;0.333;0.333;0.362;0.395;0.5;0.091;0.526;1.0;0.462;0.316;0.63;0.275;0.333;0.275;0.333;0.275;0.333;0.395;0.362
ENST00000640318_90_90;0.7;0.426;0.771;0.723;0.275;0.125;0.282;0.462;1.0;0.15;0.548;0.385;0.426;0.385;0.426;0.385;0.426;0.723;0.735
ENST00000640461_90_90;0.082;0.125;0.104;0.114;0.357;0.182;0.5;0.316;0.15;1.0;0.179;0.053;0.125;0.053;0.125;0.053;0.125;0.114;0.104
ENST00000640909_90_90;0.469;0.333;0.565;0.417;0.407;0.185;0.321;0.63;0.548;0.179;1.0;0.283;0.333;0.283;0.333;0.283;0.333;0.417;0.5
ENST00000302127_90_90;0.436;0.868;0.436;0.5;0.184;0.0;0.158;0.275;0.385;0.053;0.283;1.0;0.868;1.0;0.868;1.0;0.868;0.5;0.436
ENST00000315987_90_90;0.448;1.0;0.474;0.569;0.25;0.048;0.225;0.333;0.426;0.125;0.333;0.868;1.0;0.868;1.0;0.868;1.0;0.569;0.474
ENST00000369697_90_90;0.436;0.868;0.436;0.5;0.184;0.0;0.158;0.275;0.385;0.053;0.283;1.0;0.868;1.0;0.868;1.0;0.868;0.5;0.436
ENSMUST00000079169_90_90;0.448;1.0;0.474;0.569;0.25;0.048;0.225;0.333;0.426;0.125;0.333;0.868;1.0;0.868;1.0;0.868;1.0;0.569;0.474
ENSMUST00000098761_90_90;0.436;0.868;0.436;0.5;0.184;0.0;0.158;0.275;0.385;0.053;0.283;1.0;0.868;1.0;0.868;1.0;0.868;0.5;0.436
ENSMUST00000118360_90_90;0.448;1.0;0.474;0.569;0.25;0.048;0.225;0.333;0.426;0.125;0.333;0.868;1.0;0.868;1.0;0.868;1.0;0.569;0.474
ENSMUST00000025202_90_90;0.796;0.569;0.833;1.0;0.227;0.043;0.205;0.395;0.723;0.114;0.417;0.5;0.569;0.5;0.569;0.5;0.569;1.0;0.833
ENSMUST00000160433_90_90;0.957;0.474;0.917;0.833;0.234;0.083;0.188;0.362;0.735;0.104;0.5;0.436;0.474;0.436;0.474;0.436;0.474;0.833;1.0
