;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.786;0.571;0.714;0.643;0.571;0.643;0.786;0.786;0.929;0.917;0.833;1.0
ENST00000297620_90_90;0.786;1.0;0.312;0.643;0.833;0.692;0.833;0.714;0.714;0.857;0.75;0.667;0.833
ENST00000379078_90_90;0.571;0.312;1.0;0.429;0.267;0.357;0.357;0.5;0.5;0.438;0.417;0.455;0.5
ENST00000379080_90_90;0.714;0.643;0.429;1.0;0.75;0.5;0.75;0.917;0.769;0.786;0.727;0.8;0.667
ENST00000379081_90_90;0.643;0.833;0.267;0.75;1.0;0.667;0.818;0.692;0.692;0.714;0.727;0.636;0.667
ENST00000379084_90_90;0.571;0.692;0.357;0.5;0.667;1.0;0.667;0.571;0.692;0.6;0.5;0.417;0.583
ENST00000379087_90_90;0.643;0.833;0.357;0.75;0.818;0.667;1.0;0.833;0.692;0.714;0.583;0.636;0.667
ENST00000379089_90_90;0.786;0.714;0.5;0.917;0.692;0.571;0.833;1.0;0.846;0.857;0.667;0.727;0.75
ENST00000422409_90_90;0.786;0.714;0.5;0.769;0.692;0.692;0.692;0.846;1.0;0.857;0.667;0.583;0.75
ENST00000445726_90_90;0.929;0.857;0.438;0.786;0.714;0.6;0.714;0.857;0.857;1.0;0.833;0.75;0.917
ENSMUST00000108049_90_90;0.917;0.75;0.417;0.727;0.727;0.5;0.583;0.667;0.667;0.833;1.0;0.909;0.917
ENSMUST00000108050_90_90;0.833;0.667;0.455;0.8;0.636;0.417;0.636;0.727;0.583;0.75;0.909;1.0;0.833
ENSMUST00000108052_90_90;1.0;0.833;0.5;0.667;0.667;0.583;0.667;0.75;0.75;0.917;0.917;0.833;1.0
