;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.316;0.368;0.947;1.0;0.158;0.85;0.9;0.9;0.85;0.85;0.75;0.75;0.15;0.7;0.25;0.9;0.2
ENST00000324778_90_90;0.316;1.0;0.0;0.3;0.273;0.1;0.353;0.316;0.316;0.333;0.333;0.375;0.375;0.286;0.429;0.571;0.316;0.429
ENST00000367632_90_90;0.368;0.0;1.0;0.4;0.364;0.0;0.316;0.286;0.286;0.3;0.3;0.2;0.2;0.0;0.222;0.0;0.286;0.0
ENST00000367634_90_90;0.947;0.3;0.4;1.0;0.909;0.19;0.895;0.81;0.81;0.762;0.762;0.667;0.667;0.158;0.737;0.263;0.81;0.211
ENST00000367635_90_90;1.0;0.273;0.364;0.909;1.0;0.174;0.81;0.905;0.905;0.857;0.857;0.762;0.762;0.143;0.667;0.238;0.905;0.19
ENST00000415888_90_90;0.158;0.1;0.0;0.19;0.174;1.0;0.176;0.158;0.158;0.167;0.167;0.188;0.188;0.0;0.214;0.0;0.158;0.0
ENSMUST00000027886_90_90;0.85;0.353;0.316;0.895;0.81;0.176;1.0;0.913;0.913;0.87;0.72;0.6;0.708;0.143;0.652;0.238;0.913;0.182
ENSMUST00000063199_90_90;0.9;0.316;0.286;0.81;0.905;0.158;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000171292_90_90;0.9;0.316;0.286;0.81;0.905;0.158;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000172057_90_90;0.85;0.333;0.3;0.762;0.857;0.167;0.87;0.957;0.957;1.0;0.76;0.64;0.75;0.087;0.56;0.174;0.957;0.125
ENSMUST00000185198_90_90;0.85;0.333;0.3;0.762;0.857;0.167;0.72;0.8;0.8;0.76;1.0;0.708;0.826;0.136;0.625;0.227;0.8;0.174
ENSMUST00000188656_90_90;0.75;0.375;0.2;0.667;0.762;0.188;0.6;0.68;0.68;0.64;0.708;1.0;0.773;0.158;0.895;0.263;0.68;0.2
ENSMUST00000189316_90_90;0.75;0.375;0.2;0.667;0.762;0.188;0.708;0.792;0.792;0.75;0.826;0.773;1.0;0.15;0.682;0.25;0.792;0.19
ENSMUST00000189648_90_90;0.15;0.286;0.0;0.158;0.143;0.0;0.143;0.13;0.13;0.087;0.136;0.158;0.15;1.0;0.176;0.6;0.13;0.6
ENSMUST00000190648_90_90;0.7;0.429;0.222;0.737;0.667;0.214;0.652;0.6;0.6;0.56;0.625;0.895;0.682;0.176;1.0;0.294;0.6;0.222
ENSMUST00000190762_90_90;0.25;0.571;0.0;0.263;0.238;0.0;0.238;0.217;0.217;0.174;0.227;0.263;0.25;0.6;0.294;1.0;0.217;0.667
ENSMUST00000191605_90_90;0.9;0.316;0.286;0.81;0.905;0.158;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000192343_90_90;0.2;0.429;0.0;0.211;0.19;0.0;0.182;0.167;0.167;0.125;0.174;0.2;0.19;0.6;0.222;0.667;0.167;1.0
