;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;1.0;0.815;0.964;0.926;0.699;0.509;0.583;0.883;0.631;0.518;0.778
ENST00000341376_90_90;1.0;1.0;0.825;0.966;0.931;0.715;0.492;0.6;0.891;0.608;0.503;0.791
ENST00000353205_90_90;0.815;0.825;1.0;0.791;0.816;0.853;0.6;0.527;0.715;0.558;0.603;0.954
ENSMUST00000046719_90_90;0.964;0.966;0.791;1.0;0.965;0.75;0.445;0.635;0.925;0.643;0.537;0.825
ENSMUST00000078800_90_90;0.926;0.931;0.816;0.965;1.0;0.772;0.459;0.657;0.89;0.666;0.555;0.853
ENSMUST00000159063_90_90;0.699;0.715;0.853;0.75;0.772;1.0;0.443;0.621;0.803;0.512;0.627;0.899
ENSMUST00000159237_90_90;0.509;0.492;0.6;0.445;0.459;0.443;1.0;0.189;0.378;0.351;0.668;0.528
ENSMUST00000159535_90_90;0.583;0.6;0.527;0.635;0.657;0.621;0.189;1.0;0.686;0.63;0.312;0.566
ENSMUST00000160319_90_90;0.883;0.891;0.715;0.925;0.89;0.803;0.378;0.686;1.0;0.567;0.514;0.75
ENSMUST00000161117_90_90;0.631;0.608;0.558;0.643;0.666;0.512;0.351;0.63;0.567;1.0;0.454;0.597
ENSMUST00000161256_90_90;0.518;0.503;0.603;0.537;0.555;0.627;0.668;0.312;0.514;0.454;1.0;0.65
ENSMUST00000162460_90_90;0.778;0.791;0.954;0.825;0.853;0.899;0.528;0.566;0.75;0.597;0.65;1.0
