;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.838;1.0;0.295;0.838;0.371;0.282;0.863;0.633;0.863;0.282;1.0;0.777
ENST00000233892_90_90;0.838;1.0;0.838;0.223;1.0;0.438;0.12;0.832;0.481;0.832;0.12;0.838;0.927
ENST00000323303_90_90;1.0;0.838;1.0;0.295;0.838;0.371;0.282;0.863;0.633;0.863;0.282;1.0;0.777
ENST00000409355_90_90;0.295;0.223;0.295;1.0;0.223;0.0;0.333;0.347;0.097;0.347;0.333;0.295;0.241
ENST00000409360_90_90;0.838;1.0;0.838;0.223;1.0;0.438;0.12;0.832;0.481;0.832;0.12;0.838;0.927
ENST00000409916_90_90;0.371;0.438;0.371;0.0;0.438;1.0;0.0;0.42;0.487;0.42;0.0;0.371;0.364
ENST00000417097_90_90;0.282;0.12;0.282;0.333;0.12;0.0;1.0;0.144;0.297;0.144;1.0;0.282;0.13
ENST00000448447_90_90;0.863;0.832;0.863;0.347;0.832;0.42;0.144;1.0;0.504;1.0;0.144;0.863;0.766
ENSMUST00000027122_90_90;0.633;0.481;0.633;0.097;0.481;0.487;0.297;0.504;1.0;0.504;0.297;0.633;0.424
ENSMUST00000159311_90_90;0.863;0.832;0.863;0.347;0.832;0.42;0.144;1.0;0.504;1.0;0.144;0.863;0.766
ENSMUST00000161122_90_90;0.282;0.12;0.282;0.333;0.12;0.0;1.0;0.144;0.297;0.144;1.0;0.282;0.13
ENSMUST00000162364_90_90;1.0;0.838;1.0;0.295;0.838;0.371;0.282;0.863;0.633;0.863;0.282;1.0;0.777
ENSMUST00000162553_90_90;0.777;0.927;0.777;0.241;0.927;0.364;0.13;0.766;0.424;0.766;0.13;0.777;1.0
