;transcript9_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript27_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript43_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript32_ENSHGLG00100003156;transcript33_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript8_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript20_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript28_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript27_ENSHGLG00100003156;0.909;0.909;0.909;0.909;1.0;0.966;0.901;0.888;0.888;0.743;0.909;0.909;0.909;0.872
transcript14_ENSHGLG00100003156;0.878;0.878;0.878;0.878;0.966;1.0;0.872;0.856;0.856;0.767;0.878;0.878;0.878;0.841
transcript43_ENSHGLG00000019563;0.992;0.992;0.992;0.992;0.901;0.872;1.0;0.971;0.971;0.828;0.992;0.992;0.992;0.955
transcript26_ENSHGLG00000019563;0.979;0.979;0.979;0.979;0.888;0.856;0.971;1.0;1.0;0.812;0.979;0.979;0.979;0.941
transcript40_ENSHGLG00000019563;0.979;0.979;0.979;0.979;0.888;0.856;0.971;1.0;1.0;0.812;0.979;0.979;0.979;0.941
transcript32_ENSHGLG00100003156;0.834;0.834;0.834;0.834;0.743;0.767;0.828;0.812;0.812;1.0;0.834;0.834;0.834;0.797
transcript33_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript22_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript9_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.878;0.992;0.979;0.979;0.834;1.0;1.0;1.0;0.963
transcript8_ENSHGLG00100006079;0.963;0.963;0.963;0.963;0.872;0.841;0.955;0.941;0.941;0.797;0.963;0.963;0.963;1.0
