;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.832;0.736;0.838;0.346;0.832;0.335;0.104;0.339;0.314;0.719;0.881;0.067;0.322;0.433;0.885;0.202;0.8
ENST00000367378_90_90;0.832;1.0;0.845;0.879;0.425;1.0;0.409;0.136;0.419;0.356;0.876;0.887;0.067;0.288;0.433;0.788;0.203;0.806
ENST00000367380_90_90;0.736;0.845;1.0;0.735;0.277;0.845;0.267;0.158;0.272;0.269;0.721;0.79;0.0;0.184;0.331;0.692;0.146;0.707
ENST00000367384_90_90;0.838;0.879;0.735;1.0;0.424;0.879;0.408;0.136;0.418;0.356;0.763;0.788;0.067;0.288;0.433;0.838;0.202;0.714
ENST00000460828_90_90;0.346;0.425;0.277;0.424;1.0;0.425;0.783;0.269;0.802;0.135;0.482;0.346;0.136;0.559;0.129;0.346;0.109;0.27
ENST00000464889_90_90;0.832;1.0;0.845;0.879;0.425;1.0;0.409;0.136;0.419;0.356;0.876;0.887;0.067;0.288;0.433;0.788;0.203;0.806
ENST00000484601_90_90;0.335;0.409;0.267;0.408;0.783;0.409;1.0;0.255;0.754;0.128;0.462;0.336;0.183;0.734;0.124;0.335;0.104;0.262
ENST00000486585_90_90;0.104;0.136;0.158;0.136;0.269;0.136;0.255;1.0;0.257;0.0;0.153;0.104;0.0;0.223;0.0;0.104;0.0;0.111
ENST00000494411_90_90;0.339;0.419;0.272;0.418;0.802;0.419;0.754;0.257;1.0;0.132;0.474;0.34;0.13;0.533;0.126;0.339;0.105;0.265
ENST00000495487_90_90;0.314;0.356;0.269;0.356;0.135;0.356;0.128;0.0;0.132;1.0;0.232;0.315;0.175;0.095;0.52;0.314;0.553;0.343
ENST00000544496_90_90;0.719;0.876;0.721;0.763;0.482;0.876;0.462;0.153;0.474;0.232;1.0;0.77;0.075;0.325;0.322;0.677;0.12;0.69
ENSMUST00000159917_90_90;0.881;0.887;0.79;0.788;0.346;0.887;0.336;0.104;0.34;0.315;0.77;1.0;0.098;0.36;0.475;0.879;0.24;0.913
ENSMUST00000159977_90_90;0.067;0.067;0.0;0.067;0.136;0.067;0.183;0.0;0.13;0.175;0.075;0.098;1.0;0.272;0.163;0.098;0.368;0.108
ENSMUST00000161123_90_90;0.322;0.288;0.184;0.288;0.559;0.288;0.734;0.223;0.533;0.095;0.325;0.36;0.272;1.0;0.17;0.359;0.163;0.348
ENSMUST00000161428_90_90;0.433;0.433;0.331;0.433;0.129;0.433;0.124;0.0;0.126;0.52;0.322;0.475;0.163;0.17;1.0;0.474;0.408;0.518
ENSMUST00000162606_90_90;0.885;0.788;0.692;0.838;0.346;0.788;0.335;0.104;0.339;0.314;0.677;0.879;0.098;0.359;0.474;1.0;0.24;0.8
ENSMUST00000162682_90_90;0.202;0.203;0.146;0.202;0.109;0.203;0.104;0.0;0.105;0.553;0.12;0.24;0.368;0.163;0.408;0.24;1.0;0.264
ENSMUST00000163085_90_90;0.8;0.806;0.707;0.714;0.27;0.806;0.262;0.111;0.265;0.343;0.69;0.913;0.108;0.348;0.518;0.8;0.264;1.0
