;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.999;0.749;0.823;0.815;0.578;0.643;0.628;0.127;0.468;0.993;0.701;0.818;0.822;0.814;0.385;0.467;0.818;0.269;0.622;0.998
ENST00000264731_90_90;0.999;1.0;0.75;0.824;0.816;0.579;0.644;0.627;0.127;0.467;0.994;0.702;0.818;0.822;0.814;0.385;0.467;0.818;0.269;0.621;0.998
ENST00000320472_90_90;0.749;0.75;1.0;0.579;0.907;0.767;0.697;0.822;0.163;0.609;0.744;0.457;0.573;0.578;0.905;0.51;0.608;0.573;0.352;0.814;0.748
ENST00000354600_90_90;0.823;0.824;0.579;1.0;0.644;0.71;0.787;0.467;0.169;0.571;0.818;0.855;0.993;0.998;0.643;0.48;0.57;0.992;0.116;0.462;0.822
ENST00000392460_90_90;0.815;0.816;0.907;0.644;1.0;0.697;0.786;0.759;0.152;0.563;0.81;0.522;0.638;0.643;0.998;0.469;0.563;0.638;0.325;0.752;0.814
ENST00000392461_90_90;0.578;0.579;0.767;0.71;0.697;1.0;0.889;0.609;0.228;0.785;0.573;0.565;0.703;0.708;0.695;0.675;0.783;0.702;0.151;0.602;0.578
ENST00000392463_90_90;0.643;0.644;0.697;0.787;0.786;0.889;1.0;0.563;0.209;0.714;0.638;0.642;0.78;0.785;0.783;0.609;0.713;0.779;0.14;0.557;0.643
ENST00000418709_90_90;0.628;0.627;0.822;0.467;0.759;0.609;0.563;1.0;0.17;0.756;0.621;0.351;0.462;0.467;0.758;0.533;0.755;0.462;0.368;0.992;0.626
ENST00000434928_90_90;0.127;0.127;0.163;0.169;0.152;0.228;0.209;0.17;1.0;0.239;0.128;0.04;0.17;0.169;0.152;0.313;0.239;0.17;0.266;0.171;0.127
ENST00000437221_90_90;0.468;0.467;0.609;0.571;0.563;0.785;0.714;0.756;0.239;1.0;0.462;0.434;0.564;0.57;0.563;0.714;0.998;0.564;0.158;0.749;0.467
ENST00000440651_90_90;0.993;0.994;0.744;0.818;0.81;0.573;0.638;0.621;0.128;0.462;1.0;0.696;0.823;0.818;0.809;0.38;0.462;0.822;0.27;0.625;0.993
ENST00000449992_90_90;0.701;0.702;0.457;0.855;0.522;0.565;0.642;0.351;0.04;0.434;0.696;1.0;0.848;0.853;0.52;0.335;0.433;0.847;0.0;0.345;0.7
ENST00000456148_90_90;0.818;0.818;0.573;0.993;0.638;0.703;0.78;0.462;0.17;0.564;0.823;0.848;1.0;0.992;0.638;0.474;0.564;0.999;0.117;0.464;0.818
ENSMUST00000040231_90_90;0.822;0.822;0.578;0.998;0.643;0.708;0.785;0.467;0.169;0.57;0.818;0.853;0.992;1.0;0.644;0.48;0.571;0.993;0.116;0.462;0.824
ENSMUST00000065523_90_90;0.814;0.814;0.905;0.643;0.998;0.695;0.783;0.758;0.152;0.563;0.809;0.52;0.638;0.644;1.0;0.47;0.563;0.638;0.325;0.752;0.816
ENSMUST00000115304_90_90;0.385;0.385;0.51;0.48;0.469;0.675;0.609;0.533;0.313;0.714;0.38;0.335;0.474;0.48;0.47;1.0;0.715;0.474;0.198;0.526;0.386
ENSMUST00000115305_90_90;0.467;0.467;0.608;0.57;0.563;0.783;0.713;0.755;0.239;0.998;0.462;0.433;0.564;0.571;0.563;0.715;1.0;0.564;0.158;0.749;0.467
ENSMUST00000115306_90_90;0.818;0.818;0.573;0.992;0.638;0.702;0.779;0.462;0.17;0.564;0.822;0.847;0.999;0.993;0.638;0.474;0.564;1.0;0.117;0.464;0.818
ENSMUST00000115307_90_90;0.269;0.269;0.352;0.116;0.325;0.151;0.14;0.368;0.266;0.158;0.27;0.0;0.117;0.116;0.325;0.198;0.158;0.117;1.0;0.37;0.269
ENSMUST00000115308_90_90;0.622;0.621;0.814;0.462;0.752;0.602;0.557;0.992;0.171;0.749;0.625;0.345;0.464;0.462;0.752;0.526;0.749;0.464;0.37;1.0;0.621
ENSMUST00000115310_90_90;0.998;0.998;0.748;0.822;0.814;0.578;0.643;0.626;0.127;0.467;0.993;0.7;0.818;0.824;0.816;0.386;0.467;0.818;0.269;0.621;1.0
