;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.37;0.625;0.3;0.517;0.75;0.091;0.333;0.045;0.13;0.045;0.136;0.13;0.952;0.667
ENSCAFT00000025875_90_90;0.37;1.0;0.36;0.36;0.56;0.321;0.0;0.15;0.059;0.0;0.059;0.0;0.0;0.385;0.6
ENST00000315266_90_90;0.625;0.36;1.0;0.44;0.783;0.857;0.05;0.316;0.053;0.15;0.053;0.222;0.15;0.652;0.556
ENST00000459628_90_90;0.3;0.36;0.44;1.0;0.64;0.444;0.05;0.19;0.0;0.15;0.0;0.158;0.15;0.267;0.4
ENST00000478722_90_90;0.517;0.56;0.783;0.64;1.0;0.692;0.04;0.25;0.042;0.12;0.042;0.174;0.12;0.536;0.679
ENST00000543237_90_90;0.75;0.321;0.857;0.444;0.692;1.0;0.043;0.333;0.045;0.13;0.045;0.19;0.13;0.708;0.5
ENST00000553936_90_90;0.091;0.0;0.05;0.05;0.04;0.043;1.0;0.0;0.0;0.143;0.0;0.167;0.143;0.095;0.08
ENST00000555456_90_90;0.333;0.15;0.316;0.19;0.25;0.333;0.0;1.0;0.0;0.0;0.0;0.1;0.0;0.35;0.24
ENST00000555503_90_90;0.045;0.059;0.053;0.0;0.042;0.045;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.048;0.04
ENST00000555668_90_90;0.13;0.0;0.15;0.15;0.12;0.13;0.143;0.0;0.0;1.0;0.0;0.5;1.0;0.136;0.115
ENST00000556240_90_90;0.045;0.059;0.053;0.0;0.042;0.045;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.048;0.04
ENST00000556633_90_90;0.136;0.0;0.222;0.158;0.174;0.19;0.167;0.1;0.0;0.5;0.0;1.0;0.5;0.143;0.12
ENST00000557654_90_90;0.13;0.0;0.15;0.15;0.12;0.13;0.143;0.0;0.0;1.0;0.0;0.5;1.0;0.136;0.115
ENSMUST00000052472_90_90;0.952;0.385;0.652;0.267;0.536;0.708;0.095;0.35;0.048;0.136;0.048;0.143;0.136;1.0;0.692
ENSMUST00000110388_90_90;0.667;0.6;0.556;0.4;0.679;0.5;0.08;0.24;0.04;0.115;0.04;0.12;0.115;0.692;1.0
