;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.737;0.5;0.714;0.667;0.773;0.105;0.111;0.727;0.619;0.81;0.667;0.111;0.158;0.053;0.619
ENSCAFT00000001399_90_90;0.737;1.0;0.588;0.737;0.778;0.636;0.125;0.133;0.591;0.722;0.591;0.684;0.133;0.188;0.062;0.632
ENSCAFT00000001401_90_90;0.5;0.588;1.0;0.5;0.526;0.435;0.154;0.0;0.391;0.474;0.391;0.45;0.0;0.231;0.077;0.4
ENST00000378735_90_90;0.714;0.737;0.5;1.0;0.944;0.857;0.105;0.111;0.81;0.789;0.727;0.842;0.111;0.222;0.053;0.789
ENST00000378746_90_90;0.667;0.778;0.526;0.944;1.0;0.81;0.111;0.118;0.762;0.833;0.682;0.789;0.118;0.235;0.056;0.737
ENST00000403231_90_90;0.773;0.636;0.435;0.857;0.81;1.0;0.091;0.095;0.783;0.682;0.783;0.727;0.095;0.19;0.045;0.682
ENST00000428744_90_90;0.105;0.125;0.154;0.105;0.111;0.091;1.0;0.0;0.095;0.118;0.095;0.111;0.0;0.4;0.25;0.118
ENST00000450441_90_90;0.111;0.133;0.0;0.111;0.118;0.095;0.0;1.0;0.1;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENST00000618515_90_90;0.727;0.591;0.391;0.81;0.762;0.783;0.095;0.1;1.0;0.636;0.739;0.682;0.1;0.2;0.048;0.636
ENSMUST00000057330_90_90;0.619;0.722;0.474;0.789;0.833;0.682;0.118;0.125;0.636;1.0;0.8;0.941;0.125;0.25;0.059;0.882
ENSMUST00000118353_90_90;0.81;0.591;0.391;0.727;0.682;0.783;0.095;0.1;0.739;0.8;1.0;0.85;0.1;0.2;0.048;0.8
ENSMUST00000120613_90_90;0.667;0.684;0.45;0.842;0.789;0.727;0.111;0.118;0.682;0.941;0.85;1.0;0.118;0.235;0.056;0.941
ENSMUST00000130037_90_90;0.111;0.133;0.0;0.111;0.118;0.095;0.0;1.0;0.1;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENSMUST00000132496_90_90;0.158;0.188;0.231;0.222;0.235;0.19;0.4;0.0;0.2;0.25;0.2;0.235;0.0;1.0;0.2;0.25
ENSMUST00000132653_90_90;0.053;0.062;0.077;0.053;0.056;0.045;0.25;0.0;0.048;0.059;0.048;0.056;0.0;0.2;1.0;0.059
ENSMUST00000173744_90_90;0.619;0.632;0.4;0.789;0.737;0.682;0.118;0.125;0.636;0.882;0.8;0.941;0.125;0.25;0.059;1.0
