;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.676;0.676;0.081;0.676;0.24;0.676;0.476;0.556;0.676;0.676;0.556;0.0;0.286
ENSCAFT00000043901_90_90;0.676;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.899;0.899;0.75;0.089;0.317
ENST00000256953_90_90;0.676;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.899;0.899;0.75;0.089;0.317
ENST00000393736_90_90;0.081;0.264;0.264;1.0;0.264;0.491;0.264;0.119;0.176;0.196;0.196;0.106;0.25;0.0
ENST00000536465_90_90;0.676;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.899;0.899;0.75;0.089;0.317
ENST00000537647_90_90;0.24;0.456;0.456;0.491;0.456;1.0;0.456;0.339;0.31;0.383;0.383;0.245;0.158;0.093
ENST00000538313_90_90;0.676;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.899;0.899;0.75;0.089;0.317
ENST00000545567_90_90;0.476;0.38;0.38;0.119;0.38;0.339;0.38;1.0;0.257;0.38;0.38;0.257;0.0;0.288
ENST00000546331_90_90;0.556;0.842;0.842;0.176;0.842;0.31;0.842;0.257;1.0;0.75;0.75;0.873;0.104;0.38
ENSMUST00000032347_90_90;0.676;0.899;0.899;0.196;0.899;0.383;0.899;0.38;0.75;1.0;1.0;0.842;0.145;0.317
ENSMUST00000117919_90_90;0.676;0.899;0.899;0.196;0.899;0.383;0.899;0.38;0.75;1.0;1.0;0.842;0.145;0.317
ENSMUST00000119610_90_90;0.556;0.75;0.75;0.106;0.75;0.245;0.75;0.257;0.873;0.842;0.842;1.0;0.174;0.38
ENSMUST00000149100_90_90;0.0;0.089;0.089;0.25;0.089;0.158;0.089;0.0;0.104;0.145;0.145;0.174;1.0;0.0
ENSMUST00000203003_90_90;0.286;0.317;0.317;0.0;0.317;0.093;0.317;0.288;0.38;0.317;0.317;0.38;0.0;1.0
