;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.421;0.6;0.368;0.421;0.222;0.25;0.6;0.222;0.421;0.619;0.778;0.789
ENST00000338183_90_90;0.421;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.421;0.381
ENST00000437989_90_90;0.6;0.688;1.0;0.444;0.688;0.294;0.25;1.0;0.375;0.688;0.889;0.6;0.545
ENST00000562489_90_90;0.368;0.615;0.444;1.0;0.615;0.333;0.0;0.444;0.231;0.615;0.4;0.368;0.333
ENST00000562877_90_90;0.421;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.421;0.381
ENST00000563167_90_90;0.222;0.308;0.294;0.333;0.308;1.0;0.111;0.294;0.0;0.308;0.263;0.158;0.143
ENST00000564586_90_90;0.25;0.071;0.25;0.0;0.071;0.111;1.0;0.25;0.111;0.071;0.222;0.25;0.222
ENST00000566621_90_90;0.6;0.688;1.0;0.444;0.688;0.294;0.25;1.0;0.375;0.688;0.889;0.6;0.545
ENST00000566807_90_90;0.222;0.545;0.375;0.231;0.545;0.0;0.111;0.375;1.0;0.545;0.333;0.294;0.263
ENST00000567389_90_90;0.421;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.421;0.381
ENST00000569302_90_90;0.619;0.611;0.889;0.4;0.611;0.263;0.222;0.889;0.333;0.611;1.0;0.545;0.636
ENSMUST00000110918_90_90;0.778;0.421;0.6;0.368;0.421;0.158;0.25;0.6;0.294;0.421;0.545;1.0;0.889
ENSMUST00000166472_90_90;0.789;0.381;0.545;0.333;0.381;0.143;0.222;0.545;0.263;0.381;0.636;0.889;1.0
