;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.831;0.896;0.831;0.809;0.81;0.411;0.817;0.682;0.148;0.19;0.809;0.314;0.793;0.223;0.809
ENST00000265997_90_90;0.831;1.0;0.877;1.0;0.783;0.754;0.454;0.727;0.602;0.116;0.155;0.783;0.275;0.851;0.188;0.783
ENST00000412050_90_90;0.896;0.877;1.0;0.877;0.773;0.808;0.411;0.815;0.681;0.117;0.158;0.773;0.277;0.754;0.19;0.773
ENST00000614585_90_90;0.831;1.0;0.877;1.0;0.783;0.754;0.454;0.727;0.602;0.116;0.155;0.783;0.275;0.851;0.188;0.783
ENSMUST00000079754_90_90;0.809;0.783;0.773;0.783;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
ENSMUST00000123727_90_90;0.81;0.754;0.808;0.754;0.887;1.0;0.477;0.944;0.8;0.181;0.225;0.887;0.353;0.877;0.26;0.887
ENSMUST00000124158_90_90;0.411;0.454;0.411;0.454;0.517;0.477;1.0;0.456;0.33;0.0;0.0;0.517;0.0;0.486;0.0;0.517
ENSMUST00000126188_90_90;0.817;0.727;0.815;0.727;0.939;0.944;0.456;1.0;0.853;0.169;0.21;0.939;0.33;0.835;0.242;0.939
ENSMUST00000126781_90_90;0.682;0.602;0.681;0.602;0.8;0.8;0.33;0.853;1.0;0.185;0.229;0.8;0.36;0.702;0.264;0.8
ENSMUST00000128642_90_90;0.148;0.116;0.117;0.116;0.158;0.181;0.0;0.169;0.185;1.0;0.807;0.158;0.516;0.179;0.709;0.158
ENSMUST00000131917_90_90;0.19;0.155;0.158;0.155;0.196;0.225;0.0;0.21;0.229;0.807;1.0;0.196;0.639;0.223;0.877;0.196
ENSMUST00000132580_90_90;0.809;0.783;0.773;0.783;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
ENSMUST00000133988_90_90;0.314;0.275;0.277;0.275;0.307;0.353;0.0;0.33;0.36;0.516;0.639;0.307;1.0;0.351;0.73;0.307
ENSMUST00000136286_90_90;0.793;0.851;0.754;0.851;0.897;0.877;0.486;0.835;0.702;0.179;0.223;0.897;0.351;1.0;0.258;0.897
ENSMUST00000142973_90_90;0.223;0.188;0.19;0.188;0.226;0.26;0.0;0.242;0.264;0.709;0.877;0.226;0.73;0.258;1.0;0.226
ENSMUST00000154376_90_90;0.809;0.783;0.773;0.783;1.0;0.887;0.517;0.939;0.8;0.158;0.196;1.0;0.307;0.897;0.226;1.0
