;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.964;0.878;0.838;0.292;0.837;0.838;0.838;0.878;0.885
ENSCAFT00000004373_90_90;0.964;1.0;0.912;0.807;0.267;0.806;0.807;0.807;0.912;0.851
ENST00000333896_90_90;0.878;0.912;1.0;0.861;0.291;0.859;0.861;0.861;1.0;0.927
ENST00000356805_90_90;0.838;0.807;0.861;1.0;0.292;0.997;1.0;1.0;0.861;0.885
ENST00000389980_90_90;0.292;0.267;0.291;0.292;1.0;0.292;0.292;0.292;0.291;0.33
ENST00000615901_90_90;0.837;0.806;0.859;0.997;0.292;1.0;0.999;0.999;0.86;0.884
ENSMUST00000006629_90_90;0.838;0.807;0.861;1.0;0.292;0.999;1.0;1.0;0.861;0.885
ENSMUST00000011877_90_90;0.838;0.807;0.861;1.0;0.292;0.999;1.0;1.0;0.861;0.885
ENSMUST00000102838_90_90;0.878;0.912;1.0;0.861;0.291;0.86;0.861;0.861;1.0;0.927
ENSMUST00000124231_90_90;0.885;0.851;0.927;0.885;0.33;0.884;0.885;0.885;0.927;1.0
