;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.9;0.914;0.776;0.663;0.767;0.821;0.759;0.641;0.78;0.8;0.621;0.607;0.611;0.596;0.643;0.622;0.633;0.622;0.639;0.644;0.622
transcript7_MGP-SPRETEiJ-G0021131;0.9;1.0;0.843;0.698;0.602;0.709;0.741;0.675;0.577;0.699;0.721;0.674;0.551;0.663;0.539;0.696;0.674;0.685;0.674;0.692;0.594;0.577
transcript7_ENSMUSG00000054036;0.914;0.843;1.0;0.709;0.614;0.721;0.753;0.709;0.61;0.732;0.733;0.579;0.562;0.568;0.551;0.602;0.582;0.592;0.582;0.598;0.67;0.586
transcript50_ENSMSIG00000000513;0.776;0.698;0.709;1.0;0.819;0.988;0.953;0.854;0.699;0.871;0.953;0.59;0.576;0.581;0.566;0.611;0.593;0.602;0.607;0.593;0.627;0.739
transcript50_MGP-CAROLIEiJ-G0020234;0.663;0.602;0.614;0.819;1.0;0.831;0.779;0.716;0.855;0.718;0.779;0.51;0.682;0.5;0.671;0.519;0.5;0.509;0.514;0.5;0.537;0.622
transcript50_MGP-PahariEiJ-G0020237;0.767;0.709;0.721;0.988;0.831;1.0;0.942;0.843;0.711;0.86;0.942;0.6;0.586;0.59;0.576;0.62;0.602;0.611;0.617;0.602;0.636;0.748
transcript55_ENSMSIG00000000513;0.821;0.741;0.753;0.953;0.779;0.942;1.0;0.833;0.682;0.917;0.976;0.579;0.564;0.57;0.554;0.645;0.626;0.636;0.626;0.626;0.645;0.757
transcript60_ENSMSIG00000000513;0.759;0.675;0.709;0.854;0.716;0.843;0.833;1.0;0.817;0.909;0.812;0.582;0.582;0.571;0.571;0.543;0.524;0.533;0.538;0.524;0.575;0.631
transcript60_MGP-CAROLIEiJ-G0020234;0.641;0.577;0.61;0.699;0.855;0.711;0.682;0.817;1.0;0.744;0.663;0.5;0.684;0.49;0.671;0.466;0.447;0.456;0.461;0.447;0.486;0.532
transcript64_ENSMSIG00000000513;0.78;0.699;0.732;0.871;0.718;0.86;0.917;0.909;0.744;1.0;0.894;0.543;0.541;0.533;0.531;0.61;0.59;0.6;0.59;0.59;0.596;0.694
transcript67_ENSMSIG00000000513;0.8;0.721;0.733;0.953;0.779;0.942;0.976;0.812;0.663;0.894;1.0;0.565;0.549;0.556;0.539;0.63;0.626;0.62;0.611;0.611;0.645;0.757
transcript59_MGP-SPRETEiJ-G0021131;0.621;0.674;0.579;0.59;0.51;0.6;0.579;0.582;0.5;0.543;0.565;1.0;0.71;0.988;0.699;0.924;0.902;0.913;0.923;0.902;0.767;0.766
transcript59_MGP-CAROLIEiJ-G0020234;0.607;0.551;0.562;0.576;0.682;0.586;0.564;0.582;0.684;0.541;0.549;0.71;1.0;0.699;0.986;0.66;0.64;0.65;0.657;0.64;0.66;0.667
transcript61_MGP-SPRETEiJ-G0021131;0.611;0.663;0.568;0.581;0.5;0.59;0.57;0.571;0.49;0.533;0.556;0.988;0.699;1.0;0.707;0.913;0.891;0.902;0.912;0.891;0.757;0.757
transcript61_MGP-CAROLIEiJ-G0020234;0.596;0.539;0.551;0.566;0.671;0.576;0.554;0.571;0.671;0.531;0.539;0.699;0.986;0.707;1.0;0.65;0.63;0.64;0.646;0.63;0.65;0.658
transcript62_MGP-SPRETEiJ-G0021131;0.643;0.696;0.602;0.611;0.519;0.62;0.645;0.543;0.466;0.61;0.63;0.924;0.66;0.913;0.65;1.0;0.978;0.989;0.978;0.978;0.783;0.829
transcript69_MGP-SPRETEiJ-G0021131;0.622;0.674;0.582;0.593;0.5;0.602;0.626;0.524;0.447;0.59;0.626;0.902;0.64;0.891;0.63;0.978;1.0;0.967;0.957;0.957;0.764;0.811
transcript70_MGP-SPRETEiJ-G0021131;0.633;0.685;0.592;0.602;0.509;0.611;0.636;0.533;0.456;0.6;0.62;0.913;0.65;0.902;0.64;0.989;0.967;1.0;0.967;0.967;0.774;0.82
transcript71_MGP-SPRETEiJ-G0021131;0.622;0.674;0.582;0.607;0.514;0.617;0.626;0.538;0.461;0.59;0.611;0.923;0.657;0.912;0.646;0.978;0.957;0.967;1.0;0.957;0.764;0.811
transcript72_MGP-SPRETEiJ-G0021131;0.639;0.692;0.598;0.593;0.5;0.602;0.626;0.524;0.447;0.59;0.611;0.902;0.64;0.891;0.63;0.978;0.957;0.967;0.957;1.0;0.764;0.811
transcript54_ENSMUSG00000054036;0.644;0.594;0.67;0.627;0.537;0.636;0.645;0.575;0.486;0.596;0.645;0.767;0.66;0.757;0.65;0.783;0.764;0.774;0.764;0.764;1.0;0.874
transcript57_MGP-PahariEiJ-G0020237;0.622;0.577;0.586;0.739;0.622;0.748;0.757;0.631;0.532;0.694;0.757;0.766;0.667;0.757;0.658;0.829;0.811;0.82;0.811;0.811;0.874;1.0
