;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.731;0.786;0.593;0.786;0.308;0.69;0.296;0.179;0.63;0.222;0.733;0.63;0.333;0.074;0.115
ENSCAFT00000043863_90_90;0.731;1.0;0.536;0.714;0.536;0.35;0.448;0.333;0.238;0.762;0.238;0.552;0.762;0.318;0.1;0.1
ENST00000264183_90_90;0.786;0.536;1.0;0.708;1.0;0.333;0.808;0.222;0.24;0.615;0.24;0.786;0.615;0.36;0.038;0.125
ENST00000349213_90_90;0.593;0.714;0.708;1.0;0.708;0.471;0.538;0.238;0.333;0.842;0.333;0.593;0.842;0.421;0.053;0.176
ENST00000366603_90_90;0.786;0.536;1.0;0.708;1.0;0.333;0.808;0.222;0.24;0.615;0.24;0.786;0.615;0.36;0.038;0.125
ENST00000418304_90_90;0.308;0.35;0.333;0.471;0.333;1.0;0.348;0.0;0.0;0.368;0.667;0.259;0.368;0.636;0.0;0.375
ENST00000421364_90_90;0.69;0.448;0.808;0.538;0.808;0.348;1.0;0.231;0.154;0.464;0.25;0.633;0.464;0.375;0.083;0.13
ENST00000444620_90_90;0.296;0.333;0.222;0.238;0.222;0.0;0.231;1.0;0.333;0.227;0.0;0.207;0.227;0.0;0.2;0.0
ENST00000474953_90_90;0.179;0.238;0.24;0.333;0.24;0.0;0.154;0.333;1.0;0.316;0.0;0.222;0.316;0.0;0.111;0.0
ENSMUST00000039538_90_90;0.63;0.762;0.615;0.842;0.615;0.368;0.464;0.227;0.316;1.0;0.316;0.692;1.0;0.4;0.05;0.167
ENSMUST00000110533_90_90;0.222;0.238;0.24;0.333;0.24;0.667;0.25;0.0;0.0;0.316;1.0;0.222;0.316;0.545;0.0;0.429
ENSMUST00000110534_90_90;0.733;0.552;0.786;0.593;0.786;0.259;0.633;0.207;0.222;0.692;0.222;1.0;0.692;0.385;0.036;0.115
ENSMUST00000110536_90_90;0.63;0.762;0.615;0.842;0.615;0.368;0.464;0.227;0.316;1.0;0.316;0.692;1.0;0.4;0.05;0.167
ENSMUST00000129488_90_90;0.333;0.318;0.36;0.421;0.36;0.636;0.375;0.0;0.0;0.4;0.545;0.385;0.4;1.0;0.0;0.3
ENSMUST00000151151_90_90;0.074;0.1;0.038;0.053;0.038;0.0;0.083;0.2;0.111;0.05;0.0;0.036;0.05;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.115;0.1;0.125;0.176;0.125;0.375;0.13;0.0;0.0;0.167;0.429;0.115;0.167;0.3;0.0;1.0
