;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.756;0.892;0.863;0.892;0.239;0.89;0.861;0.846;0.068;0.392;0.479;0.148
ENSCAFT00000043849_90_90;0.756;1.0;0.84;0.739;0.84;0.345;0.85;0.747;0.731;0.091;0.42;0.52;0.179
ENST00000242480_90_90;0.892;0.84;1.0;0.895;1.0;0.293;0.986;0.881;0.866;0.076;0.399;0.488;0.15
ENST00000411732_90_90;0.863;0.739;0.895;1.0;0.895;0.188;0.881;0.984;0.967;0.007;0.354;0.446;0.168
ENST00000439032_90_90;0.892;0.84;1.0;0.895;1.0;0.293;0.986;0.881;0.866;0.076;0.399;0.488;0.15
ENST00000637191_90_90;0.239;0.345;0.293;0.188;0.293;1.0;0.296;0.189;0.173;0.261;0.463;0.394;0.513
ENSMUST00000048289_90_90;0.89;0.85;0.986;0.881;0.986;0.296;1.0;0.894;0.877;0.077;0.405;0.494;0.153
ENSMUST00000105438_90_90;0.861;0.747;0.881;0.984;0.881;0.189;0.894;1.0;0.981;0.007;0.36;0.453;0.171
ENSMUST00000127820_90_90;0.846;0.731;0.866;0.967;0.866;0.173;0.877;0.981;1.0;0.0;0.343;0.436;0.152
ENSMUST00000130933_90_90;0.068;0.091;0.076;0.007;0.076;0.261;0.077;0.007;0.0;1.0;0.139;0.117;0.032
ENSMUST00000145754_90_90;0.392;0.42;0.399;0.354;0.399;0.463;0.405;0.36;0.343;0.139;1.0;0.84;0.304
ENSMUST00000145936_90_90;0.479;0.52;0.488;0.446;0.488;0.394;0.494;0.453;0.436;0.117;0.84;1.0;0.256
ENSMUST00000146986_90_90;0.148;0.179;0.15;0.168;0.15;0.513;0.153;0.171;0.152;0.032;0.304;0.256;1.0
