;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.51;0.435;0.516;0.441;0.461;0.426;0.409;0.441;0.372;0.241;0.388;0.942;0.834;0.84;0.72;0.405;0.191;0.46;0.46;0.473;0.435;0.492;0.425;0.443;0.764;0.914;0.72;0.72;0.712;0.572
ENSCAFT00000010587_90_90;0.51;1.0;0.751;0.528;0.847;0.92;0.869;0.803;0.847;0.372;0.235;0.386;0.494;0.431;0.546;0.359;0.325;0.173;0.362;0.362;0.871;0.73;0.948;0.805;0.873;0.518;0.479;0.359;0.359;0.589;0.443
ENST00000360332_90_90;0.435;0.751;1.0;0.7;0.687;0.751;0.77;0.704;0.687;0.499;0.311;0.517;0.418;0.423;0.467;0.267;0.368;0.225;0.469;0.469;0.666;0.965;0.73;0.681;0.746;0.44;0.402;0.267;0.267;0.506;0.571
ENST00000374174_90_90;0.516;0.528;0.7;1.0;0.502;0.528;0.541;0.515;0.502;0.651;0.408;0.675;0.496;0.502;0.566;0.318;0.478;0.299;0.607;0.607;0.483;0.669;0.508;0.496;0.52;0.457;0.477;0.318;0.318;0.597;0.744
ENST00000374176_90_90;0.441;0.847;0.687;0.502;1.0;0.921;0.803;0.875;1.0;0.354;0.223;0.367;0.427;0.386;0.469;0.299;0.289;0.162;0.342;0.342;0.924;0.666;0.85;0.829;0.758;0.467;0.413;0.299;0.299;0.503;0.417
ENST00000374179_90_90;0.461;0.92;0.751;0.528;0.921;1.0;0.869;0.803;0.921;0.372;0.235;0.386;0.447;0.401;0.493;0.313;0.306;0.173;0.362;0.362;0.85;0.73;0.924;0.758;0.823;0.486;0.433;0.313;0.313;0.535;0.443
ENST00000374182_90_90;0.426;0.869;0.77;0.541;0.803;0.869;1.0;0.92;0.803;0.383;0.241;0.396;0.412;0.369;0.453;0.279;0.308;0.176;0.37;0.37;0.758;0.746;0.823;0.869;0.945;0.452;0.397;0.279;0.279;0.489;0.451
ENST00000374189_90_90;0.409;0.803;0.704;0.515;0.875;0.803;0.92;1.0;0.875;0.364;0.229;0.378;0.395;0.355;0.432;0.268;0.292;0.165;0.35;0.35;0.829;0.681;0.758;0.946;0.869;0.435;0.381;0.268;0.268;0.462;0.425
ENST00000395611_90_90;0.441;0.847;0.687;0.502;1.0;0.921;0.803;0.875;1.0;0.354;0.223;0.367;0.427;0.386;0.469;0.299;0.289;0.162;0.342;0.342;0.924;0.666;0.85;0.829;0.758;0.467;0.413;0.299;0.299;0.503;0.417
ENST00000426557_90_90;0.372;0.372;0.499;0.651;0.354;0.372;0.383;0.364;0.354;1.0;0.255;0.966;0.354;0.358;0.406;0.16;0.249;0.452;0.667;0.667;0.337;0.471;0.355;0.346;0.364;0.321;0.335;0.16;0.16;0.426;0.537
ENST00000429041_90_90;0.241;0.235;0.311;0.408;0.223;0.235;0.241;0.229;0.223;0.255;1.0;0.28;0.241;0.245;0.277;0.32;0.585;0.09;0.348;0.348;0.223;0.311;0.235;0.229;0.241;0.231;0.241;0.32;0.32;0.306;0.39
ENST00000432379_90_90;0.388;0.386;0.517;0.675;0.367;0.386;0.396;0.378;0.367;0.966;0.28;1.0;0.368;0.373;0.422;0.176;0.27;0.443;0.693;0.693;0.35;0.49;0.368;0.359;0.378;0.334;0.349;0.176;0.176;0.442;0.557
ENST00000229794_90_90;0.942;0.494;0.418;0.496;0.427;0.447;0.412;0.395;0.427;0.354;0.241;0.368;1.0;0.888;0.867;0.746;0.405;0.208;0.481;0.481;0.458;0.418;0.478;0.411;0.428;0.807;0.97;0.746;0.746;0.736;0.596
ENST00000229795_90_90;0.834;0.431;0.423;0.502;0.386;0.401;0.369;0.355;0.386;0.358;0.245;0.373;0.888;1.0;0.762;0.646;0.412;0.21;0.489;0.489;0.4;0.423;0.415;0.355;0.369;0.817;0.86;0.646;0.646;0.641;0.605
ENST00000310795_90_90;0.84;0.546;0.467;0.566;0.469;0.493;0.453;0.432;0.469;0.406;0.277;0.422;0.867;0.762;1.0;0.613;0.466;0.239;0.552;0.552;0.502;0.467;0.527;0.45;0.471;0.691;0.839;0.613;0.613;0.844;0.684
ENST00000468133_90_90;0.72;0.359;0.267;0.318;0.299;0.313;0.279;0.268;0.299;0.16;0.32;0.176;0.746;0.646;0.613;1.0;0.547;0.07;0.234;0.234;0.328;0.267;0.342;0.283;0.294;0.607;0.746;1.0;1.0;0.514;0.366
ENST00000472333_90_90;0.405;0.325;0.368;0.478;0.289;0.306;0.308;0.292;0.289;0.249;0.585;0.27;0.405;0.412;0.466;0.547;1.0;0.113;0.356;0.356;0.289;0.368;0.306;0.292;0.308;0.382;0.405;0.547;0.547;0.507;0.561
ENST00000474429_90_90;0.191;0.173;0.225;0.299;0.162;0.173;0.176;0.165;0.162;0.452;0.09;0.443;0.208;0.21;0.239;0.07;0.113;1.0;0.402;0.402;0.162;0.225;0.173;0.165;0.176;0.183;0.19;0.07;0.07;0.246;0.312
ENST00000491957_90_90;0.46;0.362;0.469;0.607;0.342;0.362;0.37;0.35;0.342;0.667;0.348;0.693;0.481;0.489;0.552;0.234;0.356;0.402;1.0;1.0;0.342;0.469;0.362;0.35;0.37;0.435;0.459;0.234;0.234;0.574;0.728
ENST00000622903_90_90;0.46;0.362;0.469;0.607;0.342;0.362;0.37;0.35;0.342;0.667;0.348;0.693;0.481;0.489;0.552;0.234;0.356;0.402;1.0;1.0;0.342;0.469;0.362;0.35;0.37;0.435;0.459;0.234;0.234;0.574;0.728
ENSMUST00000022504_90_90;0.473;0.871;0.666;0.483;0.924;0.85;0.758;0.829;0.924;0.337;0.223;0.35;0.458;0.4;0.502;0.328;0.289;0.162;0.342;0.342;1.0;0.687;0.921;0.875;0.803;0.481;0.443;0.328;0.328;0.536;0.417
ENSMUST00000111942_90_90;0.435;0.73;0.965;0.669;0.666;0.73;0.746;0.681;0.666;0.471;0.311;0.49;0.418;0.423;0.467;0.267;0.368;0.225;0.469;0.469;0.687;1.0;0.751;0.704;0.77;0.44;0.402;0.267;0.267;0.506;0.571
ENSMUST00000111943_90_90;0.492;0.948;0.73;0.508;0.85;0.924;0.823;0.758;0.85;0.355;0.235;0.368;0.478;0.415;0.527;0.342;0.306;0.173;0.362;0.362;0.921;0.751;1.0;0.803;0.869;0.501;0.463;0.342;0.342;0.569;0.443
ENSMUST00000111944_90_90;0.425;0.805;0.681;0.496;0.829;0.758;0.869;0.946;0.829;0.346;0.229;0.359;0.411;0.355;0.45;0.283;0.292;0.165;0.35;0.35;0.875;0.704;0.803;1.0;0.92;0.435;0.396;0.283;0.283;0.48;0.425
ENSMUST00000111945_90_90;0.443;0.873;0.746;0.52;0.758;0.823;0.945;0.869;0.758;0.364;0.241;0.378;0.428;0.369;0.471;0.294;0.308;0.176;0.37;0.37;0.803;0.77;0.869;0.92;1.0;0.452;0.413;0.294;0.294;0.506;0.451
ENSMUST00000004990_90_90;0.764;0.518;0.44;0.457;0.467;0.486;0.452;0.435;0.467;0.321;0.231;0.334;0.807;0.817;0.691;0.607;0.382;0.183;0.435;0.435;0.481;0.44;0.501;0.435;0.452;1.0;0.831;0.607;0.607;0.649;0.585
ENSMUST00000062694_90_90;0.914;0.479;0.402;0.477;0.413;0.433;0.397;0.381;0.413;0.335;0.241;0.349;0.97;0.86;0.839;0.746;0.405;0.19;0.459;0.459;0.443;0.402;0.463;0.396;0.413;0.831;1.0;0.746;0.746;0.763;0.621
ENSMUST00000114752_90_90;0.72;0.359;0.267;0.318;0.299;0.313;0.279;0.268;0.299;0.16;0.32;0.176;0.746;0.646;0.613;1.0;0.547;0.07;0.234;0.234;0.328;0.267;0.342;0.283;0.294;0.607;0.746;1.0;1.0;0.514;0.366
ENSMUST00000114754_90_90;0.72;0.359;0.267;0.318;0.299;0.313;0.279;0.268;0.299;0.16;0.32;0.176;0.746;0.646;0.613;1.0;0.547;0.07;0.234;0.234;0.328;0.267;0.342;0.283;0.294;0.607;0.746;1.0;1.0;0.514;0.366
ENSMUST00000114758_90_90;0.712;0.589;0.506;0.597;0.503;0.535;0.489;0.462;0.503;0.426;0.306;0.442;0.736;0.641;0.844;0.514;0.507;0.246;0.574;0.574;0.536;0.506;0.569;0.48;0.506;0.649;0.763;0.514;0.514;1.0;0.778
