;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;0.98;0.2;0.953;0.214;0.214;0.145;0.141;0.043;0.015
ENST00000419482_90_90;0.98;1.0;0.198;0.973;0.121;0.123;0.082;0.141;0.043;0.0
ENST00000438570_90_90;0.2;0.198;1.0;0.203;0.0;0.0;0.021;0.0;0.201;0.0
ENST00000444564_90_90;0.953;0.973;0.203;1.0;0.123;0.125;0.083;0.145;0.044;0.0
ENSMUST00000074301_90_90;0.214;0.121;0.0;0.123;1.0;0.973;0.886;0.089;0.0;0.118
ENSMUST00000114186_90_90;0.214;0.123;0.0;0.125;0.973;1.0;0.86;0.091;0.0;0.122
ENSMUST00000114188_90_90;0.145;0.082;0.021;0.083;0.886;0.86;1.0;0.0;0.025;0.127
ENSMUST00000129630_90_90;0.141;0.141;0.0;0.145;0.089;0.091;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.043;0.043;0.201;0.044;0.0;0.0;0.025;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.015;0.0;0.0;0.0;0.118;0.122;0.127;0.0;0.0;1.0
