;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.941;0.959;0.97;0.527;0.51;0.53;0.512;0.493;0.506;0.53;0.418;0.401;0.564;0.413;0.42;0.406;0.538;0.512;0.131;0.134;0.149;0.133;0.499;0.526;0.533;0.552;0.669;0.666;0.44;0.506
transcript7_ENSSTOG00000019743;0.941;1.0;0.965;0.972;0.576;0.582;0.578;0.584;0.617;0.59;0.578;0.449;0.454;0.612;0.444;0.5;0.486;0.582;0.584;0.119;0.152;0.148;0.126;0.58;0.609;0.667;0.639;0.727;0.725;0.51;0.59
transcript7_ENSCCNG00000000226;0.959;0.965;1.0;0.988;0.591;0.597;0.593;0.598;0.588;0.601;0.593;0.455;0.46;0.629;0.475;0.526;0.509;0.597;0.598;0.123;0.139;0.154;0.128;0.591;0.623;0.633;0.663;0.764;0.75;0.514;0.601
transcript7_ENSCPOG00000024843;0.97;0.972;0.988;1.0;0.581;0.585;0.582;0.586;0.577;0.59;0.582;0.446;0.452;0.598;0.455;0.508;0.491;0.591;0.586;0.131;0.14;0.149;0.136;0.581;0.595;0.623;0.643;0.766;0.766;0.506;0.59
transcript10_ENSMPUG00000020072;0.527;0.576;0.591;0.581;1.0;0.928;0.996;0.924;0.934;0.962;0.996;0.784;0.766;0.935;0.877;0.865;0.868;0.98;0.924;0.077;0.079;0.084;0.075;0.942;0.907;0.877;0.893;0.768;0.76;0.853;0.962
transcript10_ENSECAG00000007947;0.51;0.582;0.597;0.585;0.928;1.0;0.924;0.996;0.935;0.962;0.924;0.739;0.768;0.869;0.822;0.888;0.889;0.907;0.996;0.077;0.081;0.083;0.077;0.946;0.911;0.879;0.892;0.782;0.766;0.85;0.962
transcript17_ENSMPUG00000020072;0.53;0.578;0.593;0.582;0.996;0.924;1.0;0.928;0.93;0.959;1.0;0.786;0.769;0.94;0.879;0.861;0.865;0.984;0.928;0.071;0.071;0.077;0.07;0.945;0.903;0.873;0.889;0.764;0.757;0.849;0.959
transcript17_ENSECAG00000007947;0.512;0.584;0.598;0.586;0.924;0.996;0.928;1.0;0.931;0.959;0.928;0.741;0.77;0.872;0.826;0.884;0.885;0.911;1.0;0.071;0.073;0.076;0.071;0.949;0.907;0.875;0.888;0.778;0.763;0.846;0.959
transcript17_ENSSTOG00000019743;0.493;0.617;0.588;0.577;0.934;0.935;0.93;0.931;1.0;0.972;0.93;0.735;0.763;0.875;0.817;0.885;0.89;0.912;0.931;0.07;0.088;0.082;0.072;0.953;0.919;0.935;0.899;0.776;0.764;0.853;0.972
transcript17_ENSCPOG00000024843;0.506;0.59;0.601;0.59;0.962;0.962;0.959;0.959;0.972;1.0;0.959;0.754;0.789;0.9;0.843;0.911;0.916;0.943;0.959;0.075;0.08;0.082;0.075;0.98;0.942;0.908;0.92;0.796;0.785;0.883;1.0
transcript20_ENSMPUG00000020072;0.53;0.578;0.593;0.582;0.996;0.924;1.0;0.928;0.93;0.959;1.0;0.786;0.769;0.94;0.879;0.861;0.865;0.984;0.928;0.071;0.071;0.077;0.07;0.945;0.903;0.873;0.889;0.764;0.757;0.849;0.959
transcript22_ENSMPUG00000020072;0.418;0.449;0.455;0.446;0.784;0.739;0.786;0.741;0.735;0.754;0.786;1.0;0.942;0.726;0.665;0.663;0.654;0.77;0.741;0.091;0.082;0.085;0.076;0.717;0.672;0.673;0.694;0.559;0.544;0.96;0.754
transcript22_ENSMLUG00000027828;0.401;0.454;0.46;0.452;0.766;0.768;0.769;0.77;0.763;0.789;0.769;0.942;1.0;0.713;0.656;0.707;0.707;0.752;0.77;0.095;0.083;0.083;0.079;0.808;0.762;0.684;0.703;0.589;0.573;0.974;0.789
