;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.745;0.578;0.764;0.766;0.964;0.769;0.769;0.978;0.964;0.394;0.947;0.995;0.247;0.266;0.239;0.755;0.235;0.575;0.756;0.982;0.767;0.965;0.981;0.998
ENSCAFT00000048577_90_90;0.745;1.0;0.488;0.62;0.969;0.731;0.577;0.577;0.758;0.731;0.326;0.745;0.743;0.195;0.221;0.198;0.984;0.197;0.476;0.985;0.75;0.971;0.764;0.759;0.745
ENSCAFT00000049950_90_90;0.578;0.488;1.0;0.749;0.484;0.559;0.427;0.427;0.567;0.559;0.659;0.55;0.576;0.299;0.447;0.401;0.477;0.372;0.289;0.478;0.583;0.485;0.573;0.568;0.578
ENST00000314177_90_90;0.764;0.62;0.749;1.0;0.643;0.734;0.538;0.538;0.753;0.734;0.513;0.721;0.766;0.325;0.348;0.312;0.633;0.298;0.409;0.632;0.749;0.641;0.736;0.752;0.765
ENST00000338564_90_90;0.766;0.969;0.484;0.643;1.0;0.741;0.584;0.584;0.757;0.741;0.33;0.731;0.768;0.209;0.223;0.201;0.985;0.2;0.482;0.984;0.754;0.999;0.743;0.756;0.767
ENST00000340545_90_90;0.964;0.731;0.559;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.73;0.966;0.74;0.949;0.947;0.964
ENST00000397620_90_90;0.769;0.577;0.427;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.575;0.771;0.584;0.758;0.756;0.769
ENST00000397624_90_90;0.769;0.577;0.427;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.575;0.771;0.584;0.758;0.756;0.769
ENST00000424352_90_90;0.978;0.758;0.567;0.753;0.757;0.95;0.757;0.757;1.0;0.95;0.387;0.968;0.983;0.244;0.262;0.235;0.771;0.231;0.564;0.77;0.962;0.756;0.979;0.997;0.979
ENST00000557796_90_90;0.964;0.731;0.559;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.73;0.966;0.74;0.949;0.947;0.964
ENST00000558313_90_90;0.394;0.326;0.659;0.513;0.33;0.407;0.513;0.513;0.387;0.407;1.0;0.4;0.394;0.068;0.607;0.601;0.325;0.473;0.338;0.325;0.395;0.33;0.388;0.387;0.394
ENST00000559085_90_90;0.947;0.745;0.55;0.721;0.731;0.982;0.783;0.783;0.968;0.982;0.4;1.0;0.95;0.212;0.271;0.243;0.745;0.238;0.583;0.744;0.949;0.73;0.967;0.964;0.947
ENST00000559561_90_90;0.995;0.743;0.576;0.766;0.768;0.967;0.771;0.771;0.983;0.967;0.394;0.95;1.0;0.249;0.266;0.239;0.757;0.235;0.574;0.756;0.979;0.767;0.962;0.979;0.997
