;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.973;0.95;0.963;0.075;0.297;0.0;0.121;0.909;0.943;0.947;0.203;0.411
ENSCAFT00000042737_90_90;0.973;1.0;0.964;0.963;0.067;0.289;0.0;0.122;0.921;0.956;0.959;0.204;0.411
ENST00000373836_90_90;0.95;0.964;1.0;0.971;0.067;0.286;0.0;0.137;0.898;0.954;0.935;0.216;0.404
ENST00000373839_90_90;0.963;0.963;0.971;1.0;0.075;0.3;0.007;0.114;0.915;0.935;0.952;0.198;0.413
ENST00000493669_90_90;0.075;0.067;0.067;0.075;1.0;0.277;0.054;0.499;0.074;0.072;0.071;0.306;0.161
ENST00000632202_90_90;0.297;0.289;0.286;0.3;0.277;1.0;0.021;0.385;0.244;0.28;0.282;0.621;0.506
ENST00000632421_90_90;0.0;0.0;0.0;0.007;0.054;0.021;1.0;0.0;0.008;0.0;0.007;0.0;0.016
ENST00000633167_90_90;0.121;0.122;0.137;0.114;0.499;0.385;0.0;1.0;0.081;0.137;0.116;0.38;0.167
ENSMUST00000084170_90_90;0.909;0.921;0.898;0.915;0.074;0.244;0.008;0.081;1.0;0.933;0.961;0.209;0.447
ENSMUST00000084249_90_90;0.943;0.956;0.954;0.935;0.072;0.28;0.0;0.137;0.933;1.0;0.971;0.224;0.413
ENSMUST00000102568_90_90;0.947;0.959;0.935;0.952;0.071;0.282;0.007;0.116;0.961;0.971;1.0;0.201;0.429
ENSMUST00000136711_90_90;0.203;0.204;0.216;0.198;0.306;0.621;0.0;0.38;0.209;0.224;0.201;1.0;0.454
ENSMUST00000152271_90_90;0.411;0.411;0.404;0.413;0.161;0.506;0.016;0.167;0.447;0.413;0.429;0.454;1.0
