;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.588;0.499;0.336;0.539;0.513;0.586;0.495;0.462;0.451;0.531;0.135
ENST00000318386_90_90;0.588;1.0;0.845;0.319;0.742;0.835;0.952;0.375;0.4;0.335;0.487;0.133
ENST00000429429_90_90;0.499;0.845;1.0;0.302;0.672;0.767;0.889;0.288;0.308;0.247;0.389;0.131
ENST00000480936_90_90;0.336;0.319;0.302;1.0;0.23;0.227;0.33;0.436;0.475;0.383;0.499;0.204
ENST00000483348_90_90;0.539;0.742;0.672;0.23;1.0;0.881;0.778;0.302;0.324;0.26;0.407;0.087
ENST00000488267_90_90;0.513;0.835;0.767;0.227;0.881;1.0;0.877;0.297;0.319;0.256;0.401;0.087
ENST00000489418_90_90;0.586;0.952;0.889;0.33;0.778;0.877;1.0;0.368;0.394;0.328;0.483;0.116
ENSMUST00000057551_90_90;0.495;0.375;0.288;0.436;0.302;0.297;0.368;1.0;0.821;0.94;0.657;0.156
ENSMUST00000075670_90_90;0.462;0.4;0.308;0.475;0.324;0.319;0.394;0.821;1.0;0.763;0.717;0.173
ENSMUST00000101354_90_90;0.451;0.335;0.247;0.383;0.26;0.256;0.328;0.94;0.763;1.0;0.603;0.097
ENSMUST00000139518_90_90;0.531;0.487;0.389;0.499;0.407;0.401;0.483;0.657;0.717;0.603;1.0;0.177
ENSMUST00000151081_90_90;0.135;0.133;0.131;0.204;0.087;0.087;0.116;0.156;0.173;0.097;0.177;1.0
