;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;1.0;0.114;0.952;0.67;0.068;0.065;0.952;1.0;0.952
ENST00000308664_90_90;1.0;1.0;0.1;0.868;0.637;0.064;0.097;0.868;1.0;0.868
ENST00000377685_90_90;0.114;0.1;1.0;0.093;0.0;0.0;0.0;0.099;0.107;0.099
ENST00000539276_90_90;0.952;0.868;0.093;1.0;0.755;0.059;0.09;1.0;0.868;1.0
ENST00000548169_90_90;0.67;0.637;0.0;0.755;1.0;0.086;0.133;0.755;0.637;0.755
ENST00000552636_90_90;0.068;0.064;0.0;0.059;0.086;1.0;0.0;0.059;0.064;0.059
ENST00000553144_90_90;0.065;0.097;0.0;0.09;0.133;0.0;1.0;0.096;0.104;0.096
ENSMUST00000031423_90_90;0.952;0.868;0.099;1.0;0.755;0.059;0.096;1.0;0.849;1.0
ENSMUST00000177974_90_90;1.0;1.0;0.107;0.868;0.637;0.064;0.104;0.849;1.0;0.849
ENSMUST00000179939_90_90;0.952;0.868;0.099;1.0;0.755;0.059;0.096;1.0;0.849;1.0
