;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.965;1.0;0.965;1.0;1.0;0.919;0.521;0.651;0.182;0.366;1.0;0.235;1.0;0.254;0.965
ENST00000221222_90_90;0.965;1.0;0.966;1.0;0.966;0.966;0.887;0.5;0.653;0.182;0.366;0.965;0.242;0.965;0.218;0.929
ENST00000392351_90_90;1.0;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;1.0;0.235;1.0;0.254;0.965
ENST00000433218_90_90;0.965;1.0;0.966;1.0;0.966;0.966;0.887;0.5;0.653;0.182;0.366;0.965;0.242;0.965;0.218;0.929
ENST00000539827_90_90;1.0;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;1.0;0.235;1.0;0.254;0.965
ENST00000542541_90_90;1.0;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;1.0;0.235;1.0;0.254;0.965
ENST00000594439_90_90;0.919;0.887;0.92;0.887;0.92;0.92;1.0;0.578;0.551;0.195;0.276;0.919;0.257;0.919;0.276;0.883
ENST00000594794_90_90;0.521;0.5;0.534;0.5;0.534;0.534;0.578;1.0;0.165;0.052;0.042;0.521;0.051;0.521;0.38;0.486
ENST00000596482_90_90;0.651;0.653;0.631;0.653;0.631;0.631;0.551;0.165;1.0;0.276;0.559;0.651;0.357;0.651;0.132;0.675
ENST00000599097_90_90;0.182;0.182;0.177;0.182;0.177;0.177;0.195;0.052;0.276;1.0;0.484;0.182;0.758;0.182;0.0;0.187
ENST00000600077_90_90;0.366;0.366;0.355;0.366;0.355;0.355;0.276;0.042;0.559;0.484;1.0;0.366;0.635;0.366;0.0;0.378
ENSMUST00000003669_90_90;1.0;0.965;1.0;0.965;1.0;1.0;0.919;0.521;0.651;0.182;0.366;1.0;0.221;1.0;0.254;0.965
ENSMUST00000087467_90_90;0.235;0.242;0.235;0.242;0.235;0.235;0.257;0.051;0.357;0.758;0.635;0.221;1.0;0.221;0.0;0.228
ENSMUST00000110124_90_90;1.0;0.965;1.0;0.965;1.0;1.0;0.919;0.521;0.651;0.182;0.366;1.0;0.221;1.0;0.254;0.965
ENSMUST00000135368_90_90;0.254;0.218;0.254;0.218;0.254;0.254;0.276;0.38;0.132;0.0;0.0;0.254;0.0;0.254;1.0;0.263
ENSMUST00000140212_90_90;0.965;0.929;0.965;0.929;0.965;0.965;0.883;0.486;0.675;0.187;0.378;0.965;0.228;0.965;0.263;1.0
