;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.984;1.0;1.0;1.0;0.582;0.984;0.921;0.624;0.468;0.989;0.584;0.584;0.483;0.981;0.606
transcript19_ppan;0.984;1.0;0.983;0.984;0.984;0.566;1.0;0.905;0.614;0.456;0.973;0.574;0.574;0.47;0.997;0.596
transcript20_ppan;1.0;0.983;1.0;1.0;1.0;0.559;0.983;0.972;0.611;0.446;0.989;0.603;0.603;0.461;0.98;0.593
transcript12_ptro;1.0;0.984;1.0;1.0;1.0;0.838;0.984;0.921;1.0;0.641;0.989;0.937;0.937;0.641;0.981;1.0
transcript12_hsap;1.0;0.984;1.0;1.0;1.0;0.49;0.984;0.921;0.634;0.416;0.989;0.596;0.596;0.425;0.981;0.62
transcript18_hsap;0.582;0.566;0.559;0.838;0.49;1.0;0.477;0.456;0.835;0.933;0.489;0.784;0.784;0.958;0.472;0.812
transcript19_hsap;0.984;1.0;0.983;0.984;0.984;0.477;1.0;0.905;0.624;0.405;0.973;0.586;0.586;0.413;0.997;0.61
transcript20_hsap;0.921;0.905;0.972;0.921;0.921;0.456;0.905;1.0;0.582;0.357;0.91;0.597;0.597;0.365;0.902;0.569
transcript21_hsap;0.624;0.614;0.611;1.0;0.634;0.835;0.624;0.582;1.0;0.664;0.603;0.953;0.953;0.677;0.598;0.98
transcript11_ggor;0.468;0.456;0.446;0.641;0.416;0.933;0.405;0.357;0.664;1.0;0.422;0.648;0.648;0.982;0.408;0.687
transcript12_ggor;0.989;0.973;0.989;0.989;0.989;0.489;0.973;0.91;0.603;0.422;1.0;0.578;0.578;0.428;0.976;0.594
transcript16_ggor;0.584;0.574;0.603;0.937;0.596;0.784;0.586;0.597;0.953;0.648;0.578;1.0;1.0;0.656;0.566;0.947
transcript17_ggor;0.584;0.574;0.603;0.937;0.596;0.784;0.586;0.597;0.953;0.648;0.578;1.0;1.0;0.656;0.566;0.947
transcript18_ggor;0.483;0.47;0.461;0.641;0.425;0.958;0.413;0.365;0.677;0.982;0.428;0.656;0.656;1.0;0.414;0.67
transcript19_ggor;0.981;0.997;0.98;0.981;0.981;0.472;0.997;0.902;0.598;0.408;0.976;0.566;0.566;0.414;1.0;0.589
transcript8_pabe;0.606;0.596;0.593;1.0;0.62;0.812;0.61;0.569;0.98;0.687;0.594;0.947;0.947;0.67;0.589;1.0
