;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.892;1.0;0.892;0.97;0.75;0.892;0.907;0.892;0.907;0.895;0.867;0.892;0.892;0.892
transcript20_ENSHGLG00100003156;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.919;0.97;0.919;1.0;0.727;0.919;0.934;0.919;0.934;0.903;0.895;0.919;0.919;0.919
transcript32_ENSHGLG00100003156;0.667;0.75;0.667;0.727;1.0;0.667;0.68;0.667;0.68;0.677;0.644;0.667;0.667;0.667
transcript20_ENSHGLG00000019563;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.984;0.907;0.984;0.934;0.68;0.984;1.0;0.984;1.0;0.968;0.958;0.984;0.984;0.984
transcript28_ENSHGLG00000019563;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.984;0.907;0.984;0.934;0.68;0.984;1.0;0.984;1.0;0.968;0.958;0.984;0.984;0.984
transcript43_ENSHGLG00000019563;0.984;0.895;0.984;0.903;0.677;0.984;0.968;0.984;0.968;1.0;0.96;0.984;0.984;0.984
transcript8_ENSHGLG00100006079;0.976;0.867;0.976;0.895;0.644;0.976;0.958;0.976;0.958;0.96;1.0;0.976;0.976;0.976
transcript9_ENSHGLG00100006079;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.892;1.0;0.919;0.667;1.0;0.984;1.0;0.984;0.984;0.976;1.0;1.0;1.0
