;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript20_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript47_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.875;0.901;0.805;0.813;0.817;0.817;0.721;0.673;0.901;0.805;0.901;0.901
transcript47_ENSRNOG00000031503;0.875;1.0;0.783;0.688;0.695;0.697;0.697;0.603;0.553;0.783;0.688;0.783;0.783
transcript20_ENSMUGG00000013649;0.901;0.783;1.0;0.888;0.895;0.883;0.883;0.79;0.713;1.0;0.888;1.0;1.0
transcript47_ENSMUGG00000013649;0.805;0.688;0.888;1.0;0.952;0.804;0.804;0.891;0.805;0.888;1.0;0.888;0.888
transcript20_ENSMUGG00000013592;0.813;0.695;0.895;0.952;1.0;0.811;0.811;0.846;0.762;0.895;0.952;0.895;0.895
transcript19_ENSPEMG00000024651;0.817;0.697;0.883;0.804;0.811;1.0;1.0;0.896;0.625;0.883;0.804;0.883;0.883
transcript38_ENSPEMG00000024651;0.817;0.697;0.883;0.804;0.811;1.0;1.0;0.896;0.625;0.883;0.804;0.883;0.883
transcript47_ENSPEMG00000024651;0.721;0.603;0.79;0.891;0.846;0.896;0.896;1.0;0.696;0.79;0.891;0.79;0.79
transcript27_ENSNGAG00000018584;0.673;0.553;0.713;0.805;0.762;0.625;0.625;0.696;1.0;0.713;0.805;0.713;0.713
transcript7_ENSSTOG00000019743;0.901;0.783;1.0;0.888;0.895;0.883;0.883;0.79;0.713;1.0;0.888;1.0;1.0
transcript24_ENSSTOG00000019743;0.805;0.688;0.888;1.0;0.952;0.804;0.804;0.891;0.805;0.888;1.0;0.888;0.888
transcript25_ENSSTOG00000019743;0.901;0.783;1.0;0.888;0.895;0.883;0.883;0.79;0.713;1.0;0.888;1.0;1.0
transcript32_ENSSTOG00000019743;0.901;0.783;1.0;0.888;0.895;0.883;0.883;0.79;0.713;1.0;0.888;1.0;1.0
