;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript19_ENSMUNG00000007775;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript19_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.4;0.533;0.4;0.533;0.4;0.533;0.533;0.533;0.4;0.556;0.556
transcript7_ENSMUNG00000007775;0.4;1.0;0.846;1.0;0.846;1.0;0.846;0.846;0.846;1.0;0.611;0.611
transcript19_ENSMUNG00000007775;0.533;0.846;1.0;0.846;1.0;0.846;1.0;1.0;1.0;0.846;0.722;0.722
transcript22_ENSMUNG00000007775;0.4;1.0;0.846;1.0;0.846;1.0;0.846;0.846;0.846;1.0;0.611;0.611
transcript23_ENSMUNG00000007775;0.533;0.846;1.0;0.846;1.0;0.846;1.0;1.0;1.0;0.846;0.722;0.722
transcript7_ENSMUNG00000002377;0.4;1.0;0.846;1.0;0.846;1.0;0.846;0.846;0.846;1.0;0.611;0.611
transcript19_ENSMUNG00000002377;0.533;0.846;1.0;0.846;1.0;0.846;1.0;1.0;1.0;0.846;0.722;0.722
transcript27_ENSMUNG00000002377;0.533;0.846;1.0;0.846;1.0;0.846;1.0;1.0;1.0;0.846;0.722;0.722
transcript28_ENSMUNG00000002377;0.533;0.846;1.0;0.846;1.0;0.846;1.0;1.0;1.0;0.846;0.722;0.722
transcript7_ENSMUNG00000002391;0.4;1.0;0.846;1.0;0.846;1.0;0.846;0.846;0.846;1.0;0.611;0.611
transcript3_ENSPNYG00000024266;0.556;0.611;0.722;0.611;0.722;0.611;0.722;0.722;0.722;0.611;1.0;1.0
transcript3_ENSXMAG00000026005;0.556;0.611;0.722;0.611;0.722;0.611;0.722;0.722;0.722;0.611;1.0;1.0
