;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;1.0;0.924;0.146;0.998;0.097;0.943;0.111;0.128;0.059;0.114;0.363;0.114;0.114;0.114;0.167;0.114;0.06;0.105;0.311;0.107;1.0;0.823;0.926
ENST00000269137_90_90;0.924;1.0;0.158;0.926;0.106;0.871;0.12;0.139;0.063;0.122;0.394;0.123;0.123;0.122;0.181;0.122;0.065;0.113;0.337;0.115;0.924;0.747;0.998
ENST00000269138_90_90;0.146;0.158;1.0;0.146;0.291;0.091;0.606;0.284;0.32;0.673;0.217;0.692;0.692;0.673;0.409;0.673;0.365;0.458;0.248;0.505;0.146;0.177;0.158
ENST00000415083_90_90;0.998;0.926;0.146;1.0;0.098;0.945;0.111;0.129;0.059;0.113;0.364;0.114;0.114;0.113;0.167;0.113;0.06;0.105;0.312;0.107;0.998;0.822;0.924
ENST00000539244_90_90;0.097;0.106;0.291;0.098;1.0;0.043;0.267;0.231;0.0;0.295;0.103;0.303;0.303;0.295;0.194;0.295;0.0;0.205;0.117;0.225;0.097;0.118;0.105
ENST00000542420_90_90;0.943;0.871;0.091;0.945;0.043;1.0;0.059;0.136;0.062;0.06;0.386;0.06;0.06;0.06;0.177;0.06;0.063;0.055;0.33;0.057;0.943;0.767;0.869
ENST00000577572_90_90;0.111;0.12;0.606;0.111;0.267;0.059;1.0;0.264;0.662;0.613;0.132;0.629;0.629;0.613;0.228;0.613;0.332;0.429;0.149;0.471;0.111;0.134;0.12
ENST00000577636_90_90;0.128;0.139;0.284;0.129;0.231;0.136;0.264;1.0;0.345;0.287;0.352;0.294;0.294;0.287;0.761;0.287;0.399;0.208;0.411;0.226;0.128;0.155;0.138
ENST00000578700_90_90;0.059;0.063;0.32;0.059;0.0;0.062;0.662;0.345;1.0;0.324;0.15;0.332;0.332;0.324;0.287;0.324;0.472;0.226;0.171;0.248;0.059;0.071;0.063
ENST00000578954_90_90;0.114;0.122;0.673;0.113;0.295;0.06;0.613;0.287;0.324;1.0;0.138;0.702;0.702;1.0;0.246;1.0;0.37;0.462;0.156;0.51;0.114;0.138;0.123
ENST00000579061_90_90;0.363;0.394;0.217;0.364;0.103;0.386;0.132;0.352;0.15;0.138;1.0;0.139;0.139;0.138;0.46;0.138;0.159;0.116;0.856;0.122;0.363;0.268;0.392
ENST00000579640_90_90;0.114;0.123;0.692;0.114;0.303;0.06;0.629;0.294;0.332;0.702;0.139;1.0;1.0;0.702;0.251;0.702;0.603;0.471;0.158;0.521;0.114;0.138;0.123
ENST00000580642_90_90;0.114;0.123;0.692;0.114;0.303;0.06;0.629;0.294;0.332;0.702;0.139;1.0;1.0;0.702;0.251;0.702;0.603;0.471;0.158;0.521;0.114;0.138;0.123
ENST00000580751_90_90;0.114;0.122;0.673;0.113;0.295;0.06;0.613;0.287;0.324;1.0;0.138;0.702;0.702;1.0;0.246;1.0;0.37;0.462;0.156;0.51;0.114;0.138;0.123
ENST00000581021_90_90;0.167;0.181;0.409;0.167;0.194;0.177;0.228;0.761;0.287;0.246;0.46;0.251;0.251;0.246;1.0;0.246;0.324;0.186;0.537;0.2;0.167;0.202;0.18
ENST00000581570_90_90;0.114;0.122;0.673;0.113;0.295;0.06;0.613;0.287;0.324;1.0;0.138;0.702;0.702;1.0;0.246;1.0;0.37;0.462;0.156;0.51;0.114;0.138;0.123
ENST00000582448_90_90;0.06;0.065;0.365;0.06;0.0;0.063;0.332;0.399;0.472;0.37;0.159;0.603;0.603;0.37;0.324;0.37;1.0;0.248;0.184;0.275;0.06;0.073;0.065
ENST00000582792_90_90;0.105;0.113;0.458;0.105;0.205;0.055;0.429;0.208;0.226;0.462;0.116;0.471;0.471;0.462;0.186;0.462;0.248;1.0;0.129;0.376;0.105;0.125;0.113
ENST00000584083_90_90;0.311;0.337;0.248;0.312;0.117;0.33;0.149;0.411;0.171;0.156;0.856;0.158;0.158;0.156;0.537;0.156;0.184;0.129;1.0;0.136;0.311;0.284;0.336
ENST00000585121_90_90;0.107;0.115;0.505;0.107;0.225;0.057;0.471;0.226;0.248;0.51;0.122;0.521;0.521;0.51;0.2;0.51;0.275;0.376;0.136;1.0;0.107;0.128;0.115
ENSMUST00000040924_90_90;1.0;0.924;0.146;0.998;0.097;0.943;0.111;0.128;0.059;0.114;0.363;0.114;0.114;0.114;0.167;0.114;0.06;0.105;0.311;0.107;1.0;0.823;0.926
ENSMUST00000040964_90_90;0.823;0.747;0.177;0.822;0.118;0.767;0.134;0.155;0.071;0.138;0.268;0.138;0.138;0.138;0.202;0.138;0.073;0.125;0.284;0.128;0.823;1.0;0.749
ENSMUST00000092041_90_90;0.926;0.998;0.158;0.924;0.105;0.869;0.12;0.138;0.063;0.123;0.392;0.123;0.123;0.123;0.18;0.123;0.065;0.113;0.336;0.115;0.926;0.749;1.0
