;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript17_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript17_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript25_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.684;0.783;0.566;0.918;0.918;0.918;0.918;0.597;0.702;0.49;0.49;0.504;0.401;0.389;0.417;0.468;0.401;0.505;0.323;0.438;0.595;0.595
transcript26_ENSHGLG00000019563;0.684;0.684;0.684;0.684;0.684;0.684;1.0;0.467;0.357;0.603;0.603;0.603;0.603;0.383;0.465;0.274;0.282;0.296;0.194;0.181;0.205;0.232;0.194;0.269;0.115;0.24;0.388;0.388
transcript27_ENSHGLG00000019563;0.783;0.783;0.783;0.783;0.783;0.783;0.467;1.0;0.506;0.845;0.845;0.845;0.845;0.465;0.531;0.357;0.376;0.389;0.287;0.422;0.294;0.297;0.287;0.335;0.208;0.268;0.481;0.481
transcript0_ENSHGLG00100006079;0.566;0.566;0.566;0.566;0.566;0.566;0.357;0.506;1.0;0.588;0.588;0.588;0.588;0.805;0.672;0.702;0.826;0.84;0.738;0.794;0.692;0.492;0.738;0.52;0.658;0.47;0.93;0.93
transcript13_ENSHGLG00100006079;0.918;0.918;0.918;0.918;0.918;0.918;0.603;0.845;0.588;1.0;1.0;1.0;1.0;0.548;0.637;0.441;0.449;0.463;0.36;0.397;0.373;0.403;0.36;0.44;0.282;0.373;0.554;0.554
transcript20_ENSHGLG00100006079;0.918;0.918;0.918;0.918;0.918;0.918;0.603;0.845;0.588;1.0;1.0;1.0;1.0;0.548;0.637;0.441;0.449;0.463;0.36;0.397;0.373;0.403;0.36;0.44;0.282;0.373;0.554;0.554
transcript21_ENSHGLG00100006079;0.918;0.918;0.918;0.918;0.918;0.918;0.603;0.845;0.588;1.0;1.0;1.0;1.0;0.548;0.637;0.441;0.449;0.463;0.36;0.397;0.373;0.403;0.36;0.44;0.282;0.373;0.554;0.554
transcript22_ENSHGLG00100006079;0.918;0.918;0.918;0.918;0.918;0.918;0.603;0.845;0.588;1.0;1.0;1.0;1.0;0.548;0.637;0.441;0.449;0.463;0.36;0.397;0.373;0.403;0.36;0.44;0.282;0.373;0.554;0.554
transcript0_ENSMUNG00000002391;0.597;0.597;0.597;0.597;0.597;0.597;0.383;0.465;0.805;0.548;0.548;0.548;0.548;1.0;0.834;0.889;0.84;0.855;0.75;0.732;0.726;0.628;0.75;0.661;0.669;0.602;0.873;0.873
transcript21_ENSMUNG00000002391;0.702;0.702;0.702;0.702;0.702;0.702;0.465;0.531;0.672;0.637;0.637;0.637;0.637;0.834;1.0;0.723;0.699;0.713;0.609;0.59;0.635;0.748;0.609;0.788;0.527;0.716;0.742;0.742
transcript22_ENSMUNG00000002391;0.49;0.49;0.49;0.49;0.49;0.49;0.274;0.357;0.702;0.441;0.441;0.441;0.441;0.889;0.723;1.0;0.761;0.75;0.844;0.627;0.819;0.715;0.844;0.751;0.752;0.686;0.772;0.772
transcript8_ENSAPOG00000016134;0.49;0.49;0.49;0.49;0.49;0.49;0.282;0.376;0.826;0.449;0.449;0.449;0.449;0.84;0.699;0.761;1.0;0.984;0.907;0.851;0.851;0.615;0.907;0.647;0.82;0.591;0.895;0.895
transcript10_ENSAPOG00000016134;0.504;0.504;0.504;0.504;0.504;0.504;0.296;0.389;0.84;0.463;0.463;0.463;0.463;0.855;0.713;0.75;0.984;1.0;0.891;0.867;0.837;0.607;0.891;0.638;0.805;0.583;0.908;0.908
transcript12_ENSAPOG00000016134;0.401;0.401;0.401;0.401;0.401;0.401;0.194;0.287;0.738;0.36;0.36;0.36;0.36;0.75;0.609;0.844;0.907;0.891;1.0;0.758;0.942;0.692;1.0;0.726;0.903;0.664;0.806;0.806
transcript17_ENSAPOG00000016134;0.389;0.389;0.389;0.389;0.389;0.389;0.181;0.422;0.794;0.397;0.397;0.397;0.397;0.732;0.59;0.627;0.851;0.867;0.758;1.0;0.705;0.474;0.758;0.506;0.672;0.45;0.794;0.794
transcript20_ENSAPOG00000016134;0.417;0.417;0.417;0.417;0.417;0.417;0.205;0.294;0.692;0.373;0.373;0.373;0.373;0.726;0.635;0.819;0.851;0.837;0.942;0.705;1.0;0.727;0.942;0.764;0.845;0.698;0.761;0.761
transcript7_ENSAPOG00000023408;0.468;0.468;0.468;0.468;0.468;0.468;0.232;0.297;0.492;0.403;0.403;0.403;0.403;0.628;0.748;0.715;0.615;0.607;0.692;0.474;0.727;1.0;0.692;0.949;0.652;0.955;0.561;0.561
transcript12_ENSAPOG00000023408;0.401;0.401;0.401;0.401;0.401;0.401;0.194;0.287;0.738;0.36;0.36;0.36;0.36;0.75;0.609;0.844;0.907;0.891;1.0;0.758;0.942;0.692;1.0;0.726;0.903;0.664;0.806;0.806
transcript22_ENSAPOG00000023408;0.505;0.505;0.505;0.505;0.505;0.505;0.269;0.335;0.52;0.44;0.44;0.44;0.44;0.661;0.788;0.751;0.647;0.638;0.726;0.506;0.764;0.949;0.726;1.0;0.629;0.906;0.589;0.589
transcript23_ENSAPOG00000023408;0.323;0.323;0.323;0.323;0.323;0.323;0.115;0.208;0.658;0.282;0.282;0.282;0.282;0.669;0.527;0.752;0.82;0.805;0.903;0.672;0.845;0.652;0.903;0.629;1.0;0.624;0.728;0.728
