;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;1.0;1.0;1.0;0.511;0.526;0.513;0.528;0.503;0.511;0.513;0.414;0.389;0.545;0.393;0.409;0.392;0.52;0.528;0.094;0.079;0.088;0.089;0.505;0.532;0.541;0.558;0.694;0.683;0.413;0.511
transcript7_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.503;0.51;0.504;0.511;0.499;0.499;0.504;0.417;0.381;0.536;0.373;0.404;0.387;0.513;0.511;0.08;0.082;0.084;0.082;0.493;0.518;0.539;0.549;0.682;0.671;0.404;0.499
transcript7_ENSCCNG00000000226;1.0;1.0;1.0;1.0;0.52;0.527;0.522;0.528;0.51;0.514;0.522;0.427;0.393;0.556;0.41;0.418;0.418;0.529;0.528;0.084;0.084;0.086;0.086;0.509;0.538;0.549;0.555;0.682;0.682;0.416;0.514
transcript7_ENSCPOG00000024843;1.0;1.0;1.0;1.0;0.511;0.517;0.513;0.518;0.499;0.505;0.513;0.414;0.381;0.545;0.393;0.418;0.401;0.52;0.518;0.091;0.082;0.086;0.09;0.501;0.528;0.539;0.555;0.682;0.674;0.403;0.505
transcript10_ENSMPUG00000020072;0.511;0.503;0.52;0.511;1.0;1.0;0.998;0.997;1.0;1.0;0.998;0.79;0.756;0.938;0.872;0.881;0.874;0.984;0.997;0.05;0.043;0.049;0.048;0.997;0.947;0.929;0.933;0.749;0.749;0.792;1.0
transcript10_ENSECAG00000007947;0.526;0.51;0.527;0.517;1.0;1.0;0.997;0.998;1.0;1.0;0.997;0.796;0.753;0.937;0.878;0.906;0.897;0.981;0.998;0.05;0.045;0.048;0.05;0.997;0.948;0.929;0.928;0.765;0.756;0.788;1.0
transcript17_ENSMPUG00000020072;0.513;0.504;0.522;0.513;0.998;0.997;1.0;1.0;0.997;0.998;1.0;0.792;0.758;0.941;0.874;0.879;0.872;0.986;1.0;0.048;0.04;0.046;0.046;1.0;0.944;0.926;0.93;0.747;0.747;0.79;0.998
transcript17_ENSECAG00000007947;0.528;0.511;0.528;0.518;0.997;0.998;1.0;1.0;0.997;0.998;1.0;0.798;0.755;0.939;0.881;0.904;0.895;0.984;1.0;0.047;0.042;0.045;0.048;1.0;0.945;0.926;0.925;0.762;0.754;0.786;0.998
transcript17_ENSSTOG00000019743;0.503;0.499;0.51;0.499;1.0;1.0;0.997;0.997;1.0;1.0;0.997;0.79;0.742;0.938;0.866;0.894;0.889;0.98;0.997;0.042;0.044;0.046;0.044;0.997;0.949;0.925;0.928;0.748;0.743;0.78;1.0
transcript17_ENSCPOG00000024843;0.511;0.499;0.514;0.505;1.0;1.0;0.998;0.998;1.0;1.0;0.998;0.79;0.749;0.938;0.872;0.898;0.891;0.984;0.998;0.048;0.044;0.047;0.048;0.998;0.947;0.925;0.926;0.753;0.75;0.783;1.0
transcript20_ENSMPUG00000020072;0.513;0.504;0.522;0.513;0.998;0.997;1.0;1.0;0.997;0.998;1.0;0.792;0.758;0.941;0.874;0.879;0.872;0.986;1.0;0.048;0.04;0.046;0.046;1.0;0.944;0.926;0.93;0.747;0.747;0.79;0.998
transcript22_ENSMPUG00000020072;0.414;0.417;0.427;0.414;0.79;0.796;0.792;0.798;0.79;0.79;0.792;1.0;1.0;0.732;0.666;0.685;0.664;0.778;0.798;0.063;0.05;0.057;0.058;0.758;0.703;0.719;0.736;0.553;0.539;0.997;0.79
transcript22_ENSMLUG00000027828;0.389;0.381;0.393;0.381;0.756;0.753;0.758;0.755;0.742;0.749;0.758;1.0;1.0;0.705;0.641;0.664;0.648;0.745;0.755;0.061;0.053;0.057;0.061;0.751;0.696;0.654;0.672;0.522;0.509;0.997;0.749
transcript23_ENSMPUG00000020072;0.545;0.536;0.556;0.545;0.938;0.937;0.941;0.939;0.938;0.938;0.941;0.732;0.705;1.0;0.815;0.817;0.813;0.927;0.939;0.05;0.042;0.049;0.049;0.947;0.997;0.866;0.868;0.685;0.687;0.731;0.938
transcript24_ENSMPUG00000020072;0.393;0.373;0.41;0.393;0.872;0.878;0.874;0.881;0.866;0.872;0.874;0.666;0.641;0.815;1.0;0.997;0.997;0.86;0.881;0.054;0.046;0.052;0.052;0.883;0.828;0.795;0.811;0.628;0.621;0.664;0.872
transcript24_ENSCCNG00000000226;0.409;0.404;0.418;0.418;0.881;0.906;0.879;0.904;0.894;0.898;0.879;0.685;0.664;0.817;0.997;1.0;1.0;0.865;0.904;0.05;0.051;0.052;0.052;0.903;0.849;0.822;0.823;0.651;0.651;0.691;0.898
transcript24_ENSCPOG00000024843;0.392;0.387;0.418;0.401;0.874;0.897;0.872;0.895;0.889;0.891;0.872;0.664;0.648;0.813;0.997;1.0;1.0;0.858;0.895;0.053;0.049;0.052;0.054;0.897;0.847;0.814;0.823;0.651;0.64;0.674;0.891
transcript25_ENSMPUG00000020072;0.52;0.513;0.529;0.52;0.984;0.981;0.986;0.984;0.98;0.984;0.986;0.778;0.745;0.927;0.86;0.865;0.858;1.0;0.984;0.048;0.04;0.046;0.046;0.987;0.931;0.909;0.916;0.757;0.757;0.776;0.984
transcript12_ENSECAG00000007947;0.528;0.511;0.528;0.518;0.997;0.998;1.0;1.0;0.997;0.998;1.0;0.798;0.755;0.939;0.881;0.904;0.895;0.984;1.0;0.047;0.042;0.045;0.048;1.0;0.945;0.926;0.925;0.762;0.754;0.786;0.998
transcript9_ENSMLUG00000027828;0.094;0.08;0.084;0.091;0.05;0.05;0.048;0.047;0.042;0.048;0.048;0.063;0.061;0.05;0.054;0.05;0.053;0.048;0.047;1.0;1.0;1.0;1.0;0.046;0.051;0.046;0.05;0.06;0.063;0.064;0.048
transcript9_ENSSTOG00000019743;0.079;0.082;0.084;0.082;0.043;0.045;0.04;0.042;0.044;0.044;0.04;0.05;0.053;0.042;0.046;0.051;0.049;0.04;0.042;1.0;1.0;1.0;1.0;0.039;0.044;0.047;0.049;0.061;0.059;0.056;0.044
transcript9_ENSCCNG00000000226;0.088;0.084;0.086;0.086;0.049;0.048;0.046;0.045;0.046;0.047;0.046;0.057;0.057;0.049;0.052;0.052;0.052;0.046;0.045;1.0;1.0;1.0;1.0;0.043;0.048;0.049;0.05;0.062;0.062;0.059;0.047
transcript9_ENSCPOG00000024843;0.089;0.082;0.086;0.09;0.048;0.05;0.046;0.048;0.044;0.048;0.046;0.058;0.061;0.049;0.052;0.052;0.054;0.046;0.048;1.0;1.0;1.0;1.0;0.046;0.051;0.047;0.05;0.062;0.064;0.061;0.048
transcript13_ENSMLUG00000027828;0.505;0.493;0.509;0.501;0.997;0.997;1.0;1.0;0.997;0.998;1.0;0.758;0.751;0.947;0.883;0.903;0.897;0.987;1.0;0.046;0.039;0.043;0.046;1.0;0.945;0.91;0.911;0.761;0.758;0.749;0.998
transcript14_ENSMLUG00000027828;0.532;0.518;0.538;0.528;0.947;0.948;0.944;0.945;0.949;0.947;0.944;0.703;0.696;0.997;0.828;0.849;0.847;0.931;0.945;0.051;0.044;0.048;0.051;0.945;1.0;0.862;0.858;0.707;0.708;0.699;0.947
transcript26_ENSSTOG00000019743;0.541;0.539;0.549;0.539;0.929;0.929;0.926;0.926;0.925;0.925;0.926;0.719;0.654;0.866;0.795;0.822;0.814;0.909;0.926;0.046;0.047;0.049;0.047;0.91;0.862;1.0;1.0;0.676;0.668;0.705;0.925
transcript26_ENSCCNG00000000226;0.558;0.549;0.555;0.555;0.933;0.928;0.93;0.925;0.928;0.926;0.93;0.736;0.672;0.868;0.811;0.823;0.823;0.916;0.925;0.05;0.049;0.05;0.05;0.911;0.858;1.0;1.0;0.679;0.679;0.719;0.926
transcript18_ENSCCNG00000000226;0.694;0.682;0.682;0.682;0.749;0.765;0.747;0.762;0.748;0.753;0.747;0.553;0.522;0.685;0.628;0.651;0.651;0.757;0.762;0.06;0.061;0.062;0.062;0.761;0.707;0.676;0.679;1.0;1.0;0.547;0.753
transcript18_ENSCPOG00000024843;0.683;0.671;0.682;0.674;0.749;0.756;0.747;0.754;0.743;0.75;0.747;0.539;0.509;0.687;0.621;0.651;0.64;0.757;0.754;0.063;0.059;0.062;0.064;0.758;0.708;0.668;0.679;1.0;1.0;0.533;0.75
transcript32_ENSCPOG00000024843;0.413;0.404;0.416;0.403;0.792;0.788;0.79;0.786;0.78;0.783;0.79;0.997;0.997;0.731;0.664;0.691;0.674;0.776;0.786;0.064;0.056;0.059;0.061;0.749;0.699;0.705;0.719;0.547;0.533;1.0;0.783
transcript33_ENSCPOG00000024843;0.511;0.499;0.514;0.505;1.0;1.0;0.998;0.998;1.0;1.0;0.998;0.79;0.749;0.938;0.872;0.898;0.891;0.984;0.998;0.048;0.044;0.047;0.048;0.998;0.947;0.925;0.926;0.753;0.75;0.783;1.0
