;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.679;0.6;0.083;0.091;0.045;0.423;0.423;0.538;0.217;0.115
ENST00000318445_90_90;0.679;1.0;0.654;0.036;0.08;0.04;0.429;0.429;0.536;0.192;0.067
ENST00000424469_90_90;0.6;0.654;1.0;0.048;0.111;0.056;0.571;0.65;0.714;0.263;0.087
ENST00000553304_90_90;0.083;0.036;0.048;1.0;0.0;0.0;0.056;0.056;0.048;0.111;0.571
ENST00000555210_90_90;0.091;0.08;0.111;0.0;1.0;0.5;0.133;0.133;0.111;0.0;0.0
ENST00000555892_90_90;0.045;0.04;0.056;0.0;0.5;1.0;0.067;0.067;0.056;0.0;0.0
ENSMUST00000026897_90_90;0.423;0.429;0.571;0.056;0.133;0.067;1.0;0.875;0.65;0.4;0.1
ENSMUST00000098371_90_90;0.423;0.429;0.65;0.056;0.133;0.067;0.875;1.0;0.65;0.4;0.1
ENSMUST00000107453_90_90;0.538;0.536;0.714;0.048;0.111;0.056;0.65;0.65;1.0;0.333;0.087
ENSMUST00000134539_90_90;0.217;0.192;0.263;0.111;0.0;0.0;0.4;0.4;0.333;1.0;0.182
ENSMUST00000138099_90_90;0.115;0.067;0.087;0.571;0.0;0.0;0.1;0.1;0.087;0.182;1.0
