;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;1.0;0.958;0.625;0.958;0.125;0.125;0.042;0.167;0.292;0.375;0.083;0.208;0.125;0.706;0.941;0.706;0.118;0.059;0.882;0.059;0.0
ENST00000293872_90_90;1.0;1.0;0.929;0.571;0.929;0.172;0.172;0.1;0.148;0.296;0.333;0.107;0.185;0.172;0.722;0.944;0.722;0.056;0.15;0.778;0.15;0.0
ENST00000337351_90_90;0.958;0.929;1.0;0.63;1.0;0.172;0.172;0.1;0.148;0.25;0.333;0.148;0.185;0.172;0.722;0.944;0.722;0.056;0.15;0.778;0.15;0.0
ENST00000397780_90_90;0.625;0.571;0.63;1.0;0.63;0.0;0.0;0.0;0.235;0.389;0.529;0.235;0.294;0.0;0.167;0.389;0.167;0.0;0.0;0.467;0.0;0.0
ENST00000397783_90_90;0.958;0.929;1.0;0.63;1.0;0.172;0.172;0.1;0.148;0.25;0.333;0.148;0.185;0.172;0.722;0.944;0.722;0.056;0.15;0.778;0.15;0.0
ENST00000418978_90_90;0.125;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.333;0.263;0.333;0.143;0.714;0.105;0.333;0.0
ENST00000419516_90_90;0.125;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.333;0.263;0.333;0.143;0.714;0.105;0.333;0.0
ENST00000426094_90_90;0.042;0.1;0.1;0.0;0.1;0.3;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.3;0.2;0.158;0.2;0.0;0.429;0.0;1.0;0.0
ENST00000428363_90_90;0.167;0.148;0.148;0.235;0.148;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.231;0.111;0.231;0.0;0.0;0.133;0.0;0.0
ENST00000429378_90_90;0.292;0.296;0.25;0.389;0.25;0.0;0.0;0.0;0.0;1.0;0.417;0.333;0.3;0.0;0.0;0.176;0.0;0.0;0.0;0.214;0.0;0.0
ENST00000430864_90_90;0.375;0.333;0.333;0.529;0.333;0.0;0.0;0.0;0.0;0.417;1.0;0.083;0.556;0.0;0.0;0.294;0.0;0.0;0.0;0.357;0.0;0.0
ENST00000442701_90_90;0.083;0.107;0.148;0.235;0.148;0.0;0.0;0.0;0.0;0.333;0.083;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000443357_90_90;0.208;0.185;0.185;0.294;0.185;0.0;0.0;0.0;0.0;0.3;0.556;0.0;1.0;0.0;0.0;0.235;0.0;0.0;0.0;0.286;0.0;0.0
ENST00000629543_90_90;0.125;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.333;0.263;0.333;0.143;0.714;0.105;0.333;0.0
ENSMUST00000025023_90_90;0.706;0.722;0.722;0.167;0.722;0.333;0.333;0.2;0.231;0.0;0.0;0.0;0.0;0.333;1.0;0.737;1.0;0.276;0.156;0.5;0.094;0.103
ENSMUST00000114976_90_90;0.941;0.944;0.944;0.389;0.944;0.263;0.263;0.158;0.111;0.176;0.294;0.0;0.235;0.263;0.737;1.0;0.737;0.216;0.125;0.757;0.075;0.081
ENSMUST00000119928_90_90;0.706;0.722;0.722;0.167;0.722;0.333;0.333;0.2;0.231;0.0;0.0;0.0;0.0;0.333;1.0;0.737;1.0;0.276;0.156;0.5;0.094;0.103
ENSMUST00000140427_90_90;0.118;0.056;0.056;0.0;0.056;0.143;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.276;0.216;0.276;1.0;0.0;0.161;0.0;0.1
ENSMUST00000148894_90_90;0.059;0.15;0.15;0.0;0.15;0.714;0.714;0.429;0.0;0.0;0.0;0.0;0.0;0.714;0.156;0.125;0.156;0.0;1.0;0.0;0.273;0.1
ENSMUST00000152107_90_90;0.882;0.778;0.778;0.467;0.778;0.105;0.105;0.0;0.133;0.214;0.357;0.0;0.286;0.105;0.5;0.757;0.5;0.161;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.059;0.15;0.15;0.0;0.15;0.333;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.333;0.094;0.075;0.094;0.0;0.273;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.103;0.081;0.103;0.1;0.1;0.0;0.0;1.0
