;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.567;0.944;0.911;0.998;0.919;0.571;0.224;0.931
ENST00000306107_90_90;1.0;1.0;0.544;0.944;0.911;0.998;0.919;0.571;0.224;0.931
ENST00000465413_90_90;0.567;0.544;1.0;0.491;0.595;0.571;0.491;0.998;0.0;0.504
ENST00000472644_90_90;0.944;0.944;0.491;1.0;0.854;0.931;0.852;0.503;0.24;0.998
ENST00000486979_90_90;0.911;0.911;0.595;0.854;1.0;0.899;0.82;0.633;0.124;0.833
ENSMUST00000023312_90_90;0.998;0.998;0.571;0.931;0.899;1.0;0.86;0.562;0.228;0.948
ENSMUST00000164728_90_90;0.919;0.919;0.491;0.852;0.82;0.86;1.0;0.448;0.243;0.81
ENSMUST00000167115_90_90;0.571;0.571;0.998;0.503;0.633;0.562;0.448;1.0;0.0;0.513
ENSMUST00000168071_90_90;0.224;0.224;0.0;0.24;0.124;0.228;0.243;0.0;1.0;0.24
ENSMUST00000170035_90_90;0.931;0.931;0.504;0.998;0.833;0.948;0.81;0.513;0.24;1.0
