;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.863;0.729;0.851;0.067;0.257;0.144;0.2;0.265;0.158;0.067;0.683;0.794;0.712
ENSCAFT00000008030_90_90;0.863;1.0;0.851;0.729;0.067;0.257;0.067;0.2;0.182;0.158;0.067;0.794;0.683;0.712
ENST00000293217_90_90;0.729;0.851;1.0;0.859;0.121;0.352;0.069;0.207;0.272;0.162;0.121;0.726;0.621;0.68
ENST00000301608_90_90;0.851;0.729;0.859;1.0;0.121;0.352;0.148;0.207;0.368;0.162;0.121;0.621;0.726;0.68
ENST00000572047_90_90;0.067;0.067;0.121;0.121;1.0;0.204;0.0;0.0;0.238;0.0;1.0;0.1;0.1;0.0
ENST00000573078_90_90;0.257;0.257;0.352;0.352;0.204;1.0;0.35;0.0;0.637;0.0;0.204;0.185;0.185;0.188
ENST00000576743_90_90;0.144;0.067;0.069;0.148;0.0;0.35;1.0;0.0;0.465;0.0;0.0;0.064;0.137;0.078
ENST00000587927_90_90;0.2;0.2;0.207;0.207;0.0;0.0;0.0;1.0;0.0;0.448;0.0;0.188;0.188;0.242
ENST00000588176_90_90;0.265;0.182;0.272;0.368;0.238;0.637;0.465;0.0;1.0;0.0;0.238;0.118;0.189;0.11
ENST00000588968_90_90;0.158;0.158;0.162;0.162;0.0;0.0;0.0;0.448;0.0;1.0;0.0;0.15;0.15;0.183
ENST00000589301_90_90;0.067;0.067;0.121;0.121;1.0;0.204;0.0;0.0;0.238;0.0;1.0;0.1;0.1;0.0
ENSMUST00000066587_90_90;0.683;0.794;0.726;0.621;0.1;0.185;0.064;0.188;0.118;0.15;0.1;1.0;0.869;0.677
ENSMUST00000072948_90_90;0.794;0.683;0.621;0.726;0.1;0.185;0.137;0.188;0.189;0.15;0.1;0.869;1.0;0.677
ENSMUST00000148601_90_90;0.712;0.712;0.68;0.68;0.0;0.188;0.078;0.242;0.11;0.183;0.0;0.677;0.677;1.0
