;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.875;0.471;0.812;0.375;0.75;0.5;0.812;0.765;0.824;0.688;0.625;0.176
ENST00000320672_90_90;0.875;1.0;0.562;0.933;0.375;0.867;0.412;0.933;0.875;0.938;0.588;0.529;0.176
ENST00000504985_90_90;0.471;0.562;1.0;0.5;0.308;0.438;0.583;0.5;0.562;0.625;0.571;0.5;0.0
ENST00000505980_90_90;0.812;0.933;0.5;1.0;0.312;0.8;0.353;0.867;0.812;0.875;0.529;0.471;0.188
ENST00000509013_90_90;0.375;0.375;0.308;0.312;1.0;0.333;0.333;0.312;0.294;0.353;0.357;0.286;0.0
ENST00000509053_90_90;0.75;0.867;0.438;0.8;0.333;1.0;0.294;0.929;0.867;0.812;0.471;0.5;0.2
ENST00000512923_90_90;0.5;0.412;0.583;0.353;0.333;0.294;1.0;0.353;0.333;0.389;0.615;0.538;0.0
ENST00000514493_90_90;0.812;0.933;0.5;0.867;0.312;0.929;0.353;1.0;0.933;0.875;0.529;0.562;0.188
ENST00000515395_90_90;0.765;0.875;0.562;0.812;0.294;0.867;0.333;0.933;1.0;0.938;0.5;0.529;0.176
ENST00000615665_90_90;0.824;0.938;0.625;0.875;0.353;0.812;0.389;0.875;0.938;1.0;0.556;0.5;0.167
ENSMUST00000004094_90_90;0.688;0.588;0.571;0.529;0.357;0.471;0.615;0.529;0.5;0.556;1.0;0.917;0.133
ENSMUST00000042122_90_90;0.625;0.529;0.5;0.471;0.286;0.5;0.538;0.562;0.529;0.5;0.917;1.0;0.143
ENSMUST00000138488_90_90;0.176;0.176;0.0;0.188;0.0;0.2;0.0;0.188;0.176;0.167;0.133;0.143;1.0
